Reaction ID	Standard reaction Gibbs energy (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed reaction Gibbs energy (kJ/mol)	Minimum transformed reaction Gibbs energy (kJ/mol)	Maximum transformed reaction Gibbs energy (kJ/mol)
34DHPHAMT	-78.47	655615.37	-79.18	-114.81	-43.55
34DHPHEt	0.00	494466.22	0.04	-17.78	17.85
34DHPLACOX	183.48	849357.17	182.36	147.26	203.50
34DHPLACOX_NADP_	114.17	951776.04	113.06	84.77	152.10
34DHXMANDACOX	202.81	867460.10	201.69	166.58	222.83
34DHXMANDACOX_NADP_	133.50	967965.42	132.39	104.10	171.43
34HPLFM	-111.57	838220.25	-110.89	-130.74	-64.13
34HPPOR	-446.90	469360.15	-446.90	-482.53	-411.27
35CGMPtn	0.00	689743.48	0.00	-17.81	17.81
3AIBTm	-68.69	321279.93	-68.58	-104.21	-32.96
3AIBtmi	0.00	314869.88	0.02	-17.80	17.83
3DPHBH1	-545.74	3106509.95	-545.14	-553.11	-468.69
3DPHBH2	-476.42	3136060.28	-475.83	-509.22	-403.53
3DSPHR	-47.08	852183.48	-45.22	-84.26	-16.92
3HAO	-385.17	428907.47	-343.14	-349.08	-295.64
3HBCDm	17.50	1151799.45	17.53	-0.28	35.34
3HBCOAHLm	1.98	1137086.40	1.19	-32.40	4.70
3HKYNAKGAT	202.79	530805.66	202.82	167.19	238.45
3HLYTCL	-135.22	482497.34	-134.46	-181.96	-128.52
3M4HDXPAC	144.84	842571.74	143.72	108.61	164.86
3MLDAt	0.00	456952.46	-2.75	-20.56	15.07
3MOBt2im	0.00	264604.43	0.00	-17.81	17.81
3MOPt2im	0.00	301525.12	0.00	-17.81	17.81
3MOX4HOXPGALDOX	156.98	858217.92	155.87	120.76	177.01
3MOX4HOXPGALDOX_NADP_	87.67	959691.63	86.57	58.27	125.60
3MOXTYROX	-16.08	394757.08	-16.17	-70.53	1.37
3SALAASPm	0.00	515672.81	-14.74	-50.37	20.89
3SALACBOXL	-12.94	477374.91	-11.41	-58.91	-5.48
3SALAOX	-159.16	1028953.01	-157.79	-181.54	-92.47
3SALATAi	100.92	477490.14	101.70	66.07	137.33
3SALATAim	100.92	477490.14	101.88	66.26	137.51
3SPYRSP	82.90	461441.80	79.89	32.39	85.83
3SPYRSPm	82.90	461441.80	76.25	28.75	82.19
41R1H2MAE12BOOX	-23.57	501634.77	-23.53	-88.84	0.22
41R2A1H12BOOX	-42.58	487000.02	-42.63	-96.99	-25.09
42A12BOOX	-16.08	454006.46	-16.18	-70.54	1.36
4ABUTtm	0.00	298310.86	-0.02	-17.83	17.80
4HBZCOAFm	187.61	1811964.32	186.25	124.10	210.00
4HBZFm	-34.53	1234970.48	-34.53	-68.12	-31.02
4HDEBRISOQUINEte	0.00	475467.28	-2.89	-20.71	14.92
4HGLSDm	142.34	795500.96	141.34	94.58	161.19
4HOXPACDOX_NADP_	129.22	921108.19	128.11	99.82	167.15
4MOPt2im	0.00	141421.36	0.00	-17.81	17.81
4MPTNLte	0.00	182058.18	0.00	-17.81	17.81
4MPTNLtm	0.00	182058.18	0.00	-17.81	17.81
4MTOLBUTAMIDEte	0.00	673875.39	0.00	-17.81	17.82
4NPHSFte	0.00	640566.59	2.89	-14.92	20.71
4NPHSULT	-602.70	669027.11	-556.67	-592.30	-521.04
4NPHte	0.00	629981.69	2.09	-15.72	19.91
4PYRDX	16.68	475370.07	13.60	-49.87	19.35
5ADTSTSTERONEGLCte	16.68	724112.28	14.79	-48.68	20.54
5ADTSTSTERONEGLCtr	0.00	717174.03	0.00	-17.81	17.81
5ADTSTSTERONESte	0.00	749937.80	-2.89	-20.71	14.92
5ADTSTSTERONESULT	-440.79	729588.19	-441.53	-477.15	-405.90
5ADTSTSTERONEte	0.00	643583.00	-0.00	-17.81	17.81
5ADTSTSTERONEtr	0.00	643583.00	0.00	-17.81	17.81
5AOPtm	0.00	320090.53	-2.40	-20.21	15.42
5DHFtl	0.00	1939323.98	-55.91	-73.72	-38.09
5FTHFt2	0.00	811642.82	5.48	-12.33	23.29
5HLTDL	-135.22	369352.21	-134.47	-181.97	-128.53
5HOMEPRAZOLEte	0.00	783796.65	0.02	-17.79	17.83
5HOXINDACTO2OX	-50.14	404690.66	-50.88	-86.51	-15.26
5HOXINOXDA	-63.18	335762.07	-63.26	-117.62	-45.72
5HTRPVESSEC	16.68	397804.83	14.76	-48.71	20.51
5MTHFt	0.00	1053493.30	3.26	-14.56	21.07
5MTHFt2	0.00	1053493.30	3.26	-14.56	21.07
5THFtl	0.00	1479678.05	-11.02	-28.83	6.80
5THFtm	0.00	1479678.05	-88.83	-106.65	-71.02
6DHFtl	0.00	1331289.24	-11.04	-28.86	6.77
6DHFtm	0.00	1331289.24	-100.36	-118.17	-82.54
6HTSTSTERONEte	0.00	628183.03	0.00	-17.81	17.81
6HTSTSTERONEtr	0.00	628183.03	0.00	-17.81	17.81
6THFtl	0.00	1525129.17	-11.04	-28.86	6.77
6THFtm	0.00	1525129.17	-100.36	-118.17	-82.54
7DHCHSTEROLtr	0.00	839752.39	0.00	-17.81	17.81
7DHFtl	0.00	2015647.35	-14.71	-32.52	3.11
7DHFtm	0.00	2015647.35	-119.08	-136.89	-101.26
7THFtl	0.00	1949372.11	-14.55	-32.36	3.27
7THFtm	0.00	1949372.11	-118.73	-136.55	-100.92
A_MANASEly	-94.05	673033.97	-94.05	-171.24	-99.99
A4GALTc	1405.35	791234.02	-206.75	-242.38	-171.12
A4GALTg	1405.35	791234.02	-17.59	-58.29	7.03
A4GNT1g	114.97	915418.60	114.29	73.59	138.91
A4GNT2g	114.97	915418.60	114.29	73.59	138.91
AACTOOR	-53.98	255417.17	-53.20	-107.56	-35.66
AACTtm	0.00	295456.52	17.35	-0.46	35.17
AASAD3m	101.92	770434.99	100.58	53.82	120.42
AATAi	1.81	277894.96	1.81	-33.81	37.44
ABO1g	194.00	892731.38	193.32	152.62	217.94
ABO2g	626.28	629129.92	625.16	584.46	649.78
ABO3g	626.28	629129.92	625.16	584.46	649.78
ABO4g	194.00	892731.38	193.32	152.62	217.94
ABO5g	194.00	892731.38	193.32	152.62	217.94
ABO6g	194.00	892731.38	100.74	60.04	125.35
ABO7g	194.00	892731.38	300.71	260.02	325.33
ABO8g	626.28	629129.92	625.16	584.46	649.78
ABO9g	1252.56	1258259.84	1250.32	1186.74	1281.74
ABTArm	-13.12	288283.70	-13.22	-48.85	22.41
ABTD	64.36	742576.64	63.98	28.87	85.12
ABTti	0.00	340704.28	0.00	-17.81	17.81
ABUTt2rL	0.00	330135.38	-1.58	-19.39	16.23
ABUTt4_2_r	0.00	411083.17	-6.01	-97.35	3.20
ACACT10m	-61.81	1605080.48	-61.80	-95.00	-40.08
ACACT1rm	24.39	1916159.46	24.35	2.63	57.55
ACACT1x	24.39	1916159.46	24.33	-11.30	59.96
ACACt2m	0.00	141421.36	0.00	-17.81	17.81
ACACT4p	-65.97	1598428.16	-66.24	-101.87	-30.62
ACACT5p	-43.95	1565956.46	-44.23	-79.85	-8.60
ACACT6p	-43.95	1565956.46	-44.23	-79.85	-8.60
ACACT7p	-65.97	1598428.16	-66.24	-101.87	-30.62
ACACT8p	-43.95	1565956.46	-44.23	-79.85	-8.60
ACACT9p	-65.97	1598428.16	-66.24	-101.87	-30.62
ACACtx	0.00	3.08	-1.19	-19.00	16.62
ACALDtm	0.00	1.94	-0.00	-17.81	17.81
ACALDtr	0.00	1.94	0.00	-17.81	17.81
ACALDtx	0.00	1.94	0.00	-17.81	17.81
ACCOACm	233.97	1113989.01	233.05	192.11	271.80
ACCOAgt	0.00	1106295.18	-1.28	-19.09	16.53
ACCOALm	-15.05	1152891.89	-11.95	-64.80	13.05
ACCOAtn	0.00	1106295.18	0.00	-17.81	17.81
ACCOAtr	0.00	1106295.18	0.00	-17.81	17.81
ACETONEt2	0.00	141421.36	-2.89	-20.71	14.92
ACETONEt2m	0.00	141421.36	-14.96	-32.77	2.86
ACGAGBSIDEtg	0.00	0.00	-0.00	-17.82	17.81
ACGAGBSIDEtl	0.00	0.00	-0.01	-17.82	17.81
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte	0.00	0.00	-0.00	-17.81	17.81
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg	0.00	0.00	0.00	-17.81	17.82
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	0.00	0.00	-0.00	-17.81	17.81
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg	0.00	0.00	0.00	-17.81	17.82
ACGALK	-115.09	495148.46	-116.08	-161.74	-97.26
ACGALK2	-138.19	748922.41	-139.18	-174.80	-103.55
ACGALtlg	0.00	454137.14	0.47	-17.34	18.28
ACGALtly	0.00	454137.14	2.47	-15.34	20.29
ACGAM6PSi	-73.36	1185139.89	-73.99	-106.85	-49.84
ACGAMK	-129.55	473195.15	-130.66	-176.32	-111.85
ACGAMPM	6.97	500777.64	7.09	-10.72	24.91
ACGAMtly	0.00	436319.02	2.47	-15.34	20.29
ACGBGBSIDEtg	0.00	501944.34	373.31	355.49	391.12
ACGBGBSIDEtl	0.00	501944.34	745.79	727.97	763.60
ACGPID	-126.67	1.50	-125.94	-173.44	-120.00
ACGSm	-73.36	1173110.19	-74.04	-95.75	-40.84
ACHEe	19.88	582481.36	19.13	-28.37	25.07
ACHtn	0.00	573833.20	0.00	-17.81	17.81
ACHVESSEC	16.68	582481.36	17.69	-45.79	23.43
ACITL	11.76	1106295.18	10.71	-59.11	31.50
ACN13ACNGALGBSIDEte	0.00	0.00	-5.79	-23.60	12.02
ACN13ACNGALGBSIDEtg	0.00	0.00	-0.00	-17.82	17.81
ACN23ACNGALGBSIDEte	0.00	0.00	-5.79	-23.60	12.02
ACN23ACNGALGBSIDEtg	0.00	0.00	-0.00	-17.82	17.81
ACNACNGAL14ACGLCGALGLUSIDEte	0.00	467857.87	126.91	109.09	144.72
ACNACNGAL14ACGLCGALGLUSIDEtg	0.00	467857.87	-514.55	-532.36	-496.74
ACNACNGALGBSIDEte	0.00	0.00	-5.79	-23.60	12.02
ACNACNGALGBSIDEtg	0.00	0.00	-0.00	-17.82	17.81
ACNAM9PL	-51.67	489354.79	-53.01	-76.76	-18.58
ACNAM9PL2	-122.74	211502.94	-123.94	-147.69	-89.51
ACNAMlt	0.00	572032.89	-2.31	-20.12	15.50
ACNAMPH	137.77	524513.85	137.35	101.73	142.10
ACNAMtn	0.00	554275.77	0.00	-17.81	17.81
ACNGALACGLCGAL14ACGLCGALGLUSIDEte	0.00	0.00	2.89	-14.92	20.71
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg	0.00	0.00	0.00	-17.81	17.82
ACNMLr	8.95	498072.91	8.95	-38.56	14.88
ACOAD10m	620.21	1573207.28	620.21	584.59	655.84
ACOAD1fm	723.63	1552572.97	723.64	688.01	759.26
ACOAD8m	602.89	1583136.36	602.89	567.27	638.52
ACOAD9m	667.79	1541418.43	667.80	632.17	703.43
ACOAHi	10.08	1110805.57	9.28	-35.46	3.74
ACOAO7p	-56.12	1108300.77	-56.09	-91.72	-20.47
ACODA	-44.90	403782.78	-44.63	-92.14	-38.70
ACONTm	7.63	2.10	7.63	-10.18	25.45
ACOX22x	-812.72	1871479.91	-812.71	-842.40	-762.24
ACOX2x	-1124.18	1837609.82	-1123.88	-1147.63	-1058.56
ACP1_FMN_	31.78	787768.64	31.12	-4.51	35.86
ACRNtm	0.00	601834.43	4.75	-13.06	22.57
ACS2	-15.05	1152891.89	-15.09	-53.30	16.88
ACSm	-1.23	1106295.18	1.91	-50.94	26.91
ACSRTNMT	-80.87	698823.15	-81.58	-117.20	-45.95
ACt2m	0.00	141421.36	0.00	-17.81	17.82
ACt2r	0.00	141421.36	-0.00	-17.82	17.81
ACtg	0.00	1.66	-0.03	-17.85	17.78
ACTLMO	-334.46	834914.77	-334.09	-361.25	-276.11
ACTNMO	-479.62	821883.22	-479.25	-506.41	-421.27
ADA	34.68	255624.99	35.32	-1.22	35.05
ADAe	34.68	255624.99	35.27	-12.24	41.20
ADCim	-67.47	100000.00	-66.73	-114.23	-60.79
ADEt	0.00	479780.50	-0.02	-17.84	17.79
ADK1m	-4.03	5.09	-9.26	-18.05	11.51
ADK3	-27.13	680481.79	-28.73	-70.76	14.49
ADK3m	-27.13	680481.79	-32.36	-53.65	3.10
ADKd	-4.03	402423.59	-5.62	-41.25	30.00
ADMDC	-142.54	523434.71	-142.51	-190.02	-136.58
ADNCYC	10.53	3.44	10.90	-20.97	3.60
ADNK1m	26.65	100000.00	25.86	2.74	46.80
ADNt	0.00	2.24	-0.00	-17.81	17.81
ADNt4	0.00	141421.36	-3.00	-57.58	10.51
ADNtl	0.00	2.24	0.07	-17.75	17.88
ADNtm	0.00	2.24	0.00	-17.81	17.81
ADPMAN	21.45	501597.26	19.44	-39.94	19.91
ADPRIBt	0.00	202892.76	5.79	-12.02	23.60
ADPtx	0.00	3.00	-3.02	-16.55	26.67
ADRNCOAtx	0.00	1290787.73	-5.00	-22.81	12.81
ADRNCPT1	-72.43	1641585.38	-72.28	-105.14	-48.12
ADRNCPT2	72.43	1641585.38	72.44	39.24	94.16
ADRNCRNt	0.00	1480970.93	0.00	-17.81	17.82
ADRNLPVESSEC	16.68	528949.10	17.63	-45.84	23.38
ADRNt	0.00	701804.29	2.89	-14.92	20.70
ADSK	527.53	209752.32	526.39	480.72	545.20
ADSL1	45.10	250497.77	45.11	-14.27	45.58
ADSL2	6.85	613704.16	7.17	-40.33	13.11
AFLATOXINte	0.00	812757.15	-0.00	-17.81	17.81
AG13T16g	-665.07	2310504.07	-704.66	-745.36	-680.05
AG13T17g	-677.72	2832522.87	-717.69	-758.39	-693.07
AG13T18g	-666.23	3395348.06	-705.36	-746.05	-680.74
AG13T1g	-730.21	1907439.66	-769.89	-810.59	-745.27
AG13T2g	-658.18	2317584.26	-697.96	-738.65	-673.34
AG13T3g	-666.23	2807773.32	-706.16	-746.86	-681.55
AGMTm	63.94	347812.14	63.96	16.46	69.90
AGPAT1	-703.27	859567.53	-2214.91	-2247.78	-2190.76
AGTim	36.41	355724.91	36.31	0.68	71.93
AGTix	36.41	355724.91	36.40	0.77	72.03
AHANDROSTANGLCte	16.68	758657.59	14.79	-48.68	20.54
AHANDROSTANGLCtr	0.00	752038.12	0.00	-17.81	17.81
AHCYStr	0.00	345560.73	0.00	-17.81	17.81
AHEXASE2ly	-4600.96	1084066.80	-4610.49	-4717.37	-4628.30
AHEXASEly	-3980.57	836220.73	-3987.54	-4064.73	-3993.48
AIRCr	124.92	468562.62	122.06	116.13	169.57
AKGDm	6.11	1342753.30	6.22	-55.93	29.97
AKGMALtm	0.00	2.95	0.02	-35.61	35.64
AKGt4_3	0.00	424264.07	-3.22	-131.33	1.68
AKGtp	0.00	2.36	-2.38	-20.19	15.44
AKR1C1	-68.15	1148911.61	-67.78	-106.82	-39.48
AKR1C41	-96.26	1133070.94	-95.89	-117.02	-60.78
AKR1C42	-96.26	1098848.72	-95.89	-117.02	-60.78
AKR1D	-22.67	1185416.77	-22.31	-61.34	5.99
AKR1D2	-22.67	1161356.29	-22.31	-61.34	5.99
ALAASNNaEx	0.00	642477.96	-3.00	-75.39	28.32
ALACYSNaEx	0.00	510615.26	-3.03	-75.42	28.30
ALADGLNexR	0.00	637659.23	0.00	-35.62	35.63
ALADGLYexR	0.00	510669.04	-0.01	-35.64	35.62
ALAGLNexR	0.00	631590.73	0.00	-35.62	35.63
ALAGLNNaEx	0.00	647230.13	-3.00	-75.39	28.32
ALAGLYexR	0.00	503070.99	-0.01	-35.64	35.62
ALASERNaEx	0.00	506376.57	-3.04	-75.43	28.29
ALASm	15.03	1200793.18	12.70	-38.71	34.02
ALAt4	0.00	406218.88	-2.99	-57.57	10.52
ALATA_L	30.91	333346.21	30.92	-4.71	66.54
ALATHRNaEx	0.00	506376.57	-3.03	-75.42	28.29
ALAtN1	0.00	494988.67	-3.10	-94.44	6.11
ALCD21_D	112.78	712439.13	112.41	77.30	133.55
ALCD21_L	206.92	702059.63	206.55	171.44	227.69
ALCD22_D	199.07	722737.79	198.69	163.58	219.83
ALCD22_L	164.88	714233.71	164.50	129.39	185.64
ALCD2if	113.94	697384.01	113.56	78.46	134.70
ALCD2yf	44.63	819032.65	44.26	15.97	83.30
ALDD20x	57.55	756813.92	56.43	21.32	77.57
ALDD20xm	57.55	756813.92	56.13	9.37	75.98
ALDD21	63.93	1092283.11	62.80	27.69	83.94
ALDD2xm	75.50	718571.13	74.07	27.31	93.92
ALDD2y	6.18	837146.63	5.07	-23.22	44.11
ALDSTRNte	0.00	718375.20	0.00	-17.81	17.81
ALDSTRNtm	0.00	718375.20	0.00	-17.81	17.81
ALOX12	-139.14	748835.47	-139.14	-145.08	-91.64
ALOX15	-116.73	717431.38	-116.74	-122.67	-69.23
ALOX5	-116.73	717431.38	-116.73	-122.67	-69.23
ALOX52	-333.46	712364.71	-333.47	-351.28	-315.65
ALR2	-179.79	834914.77	-179.43	-218.46	-151.13
ALR3	-53.38	824524.48	-53.02	-92.06	-24.72
AMACR2p	-277.21	1479026.87	-276.91	-288.78	-244.25
AMACRp	-0.98	1514289.56	-0.98	-18.79	16.84
AMCOXO	-70.10	860337.14	-69.55	-127.32	-59.33
AMETr	0.00	543561.57	0.00	-17.81	17.81
AMETt2m	0.00	644105.11	-14.98	-50.61	20.65
AMPDA	-7.07	302227.66	-6.42	-37.50	5.18
AMPTASECGe	54.74	448673.91	54.67	7.16	60.60
AMPtp	0.00	2.01	-2.52	-14.87	27.16
AMY1e	-493.73	3419688.02	-493.74	-749.06	-570.93
AMY2e	-5431.54	9.64	-5431.54	-5686.87	-5508.73
ANDRSTRNGLCte	16.68	749233.90	14.79	-48.68	20.54
ANDRSTRNGLCtr	0.00	742530.43	0.00	-17.81	17.81
ANDRSTRNte	0.00	691466.98	-0.00	-17.81	17.81
ANDRSTRNtr	0.00	691466.98	0.00	-17.81	17.81
ANTIPYRENEte	0.00	599864.81	-0.00	-17.81	17.81
AOBUTDsm	-133.52	316371.42	-129.88	-177.38	-123.94
APAT2rm	-30.83	283548.71	-30.93	-66.56	4.69
APNNOXte	0.00	541799.92	-0.00	-17.81	17.81
APOCF	26.40	220483.12	25.68	19.75	73.19
APOCFm	26.40	220483.12	25.82	19.88	73.32
APOC_LYS_BTNP	-121.10	501865.88	-121.59	-169.10	-115.66
APOC_LYS_BTNPm	-121.10	501865.88	-121.31	-168.81	-115.37
APPNNte	0.00	526442.57	-0.00	-17.81	17.81
APRTO2	-94.25	416342.14	-92.55	-146.91	-75.01
AQCOBALt	0.00	0.00	-0.00	-17.81	17.81
ARAB_Lt	0.00	107036.11	0.00	-17.81	17.81
ARABR	67.15	857077.91	67.51	28.48	95.81
ARACHCOAtx	0.00	1106295.18	-4.99	-22.81	12.82
ARACHCPT1	3.09	1242090.38	3.24	-29.62	27.40
ARACHCPT2	-3.09	1242090.38	-3.09	-36.28	18.63
ARACHCRNt	0.00	575752.33	0.00	-17.81	17.82
ARACHDCOAtx	0.00	1387587.65	-4.99	-22.80	12.82
ARACHDt2	0.00	704644.74	2.89	-14.92	20.70
ARACHDtr	0.00	704644.74	0.00	-17.81	17.81
ARACHt	0.00	7.23	2.89	-14.92	20.70
ARGDCm	-117.70	373037.89	-116.71	-164.21	-110.77
ARGLYSex	0.00	579258.27	0.02	-35.61	35.64
ARGNm	97.77	537348.45	97.94	50.43	103.87
ARGSS	-125.68	602692.31	-126.32	-176.00	-91.58
ARGt4	0.00	527555.25	-5.87	-60.44	7.64
ARGtm	0.00	527555.25	-0.27	-18.08	17.54
ARSA	-509.40	100000.00	-509.40	-556.90	-503.46
ARTCOAL1	-1808.36	788634.59	-1798.27	-1843.01	-1803.81
ARTCOAL2	-1808.36	788634.59	-1798.27	-1843.01	-1803.81
ARTCOAL3	-1808.36	788634.59	-1798.27	-1843.01	-1803.81
R_group_phosphotase_1	1817.21	782268.82	1806.48	1768.27	1838.45
R_group_phosphotase_2	1817.21	782268.82	1806.48	1768.27	1838.45
R_group_phosphotase_3	1817.21	782268.82	1806.48	1768.27	1838.45
ARTFR208	1.68	3679901.57	-34.50	-168.07	83.38
ARTPLM3	-2102.23	782268.82	-2067.85	-2085.67	-2050.04
ARTPLM3m	-2102.23	782268.82	-2067.49	-2085.31	-2049.68
ASAH1	85.75	263601.22	85.01	37.51	90.95
ASCBOX	-122.94	457982.59	-119.23	-172.67	-65.79
ASCBt	0.00	373329.01	2.89	-14.92	20.71
ASCBt4	0.00	399217.42	-0.11	-54.69	13.40
ASNALANaEx	0.00	642477.96	-3.00	-75.39	28.32
ASNCYSNaEx	0.00	602891.63	-3.03	-75.42	28.30
ASNGLNNaEx	0.00	722258.42	-3.00	-75.39	28.32
ASNNm	-77.95	402398.25	-78.49	-125.99	-72.55
ASNS1	-15.71	580933.46	-16.34	-95.71	6.52
ASNSERNaEx	0.00	599305.94	-3.04	-75.43	28.29
ASNt4	0.00	517459.32	-2.99	-57.57	10.52
ASNTHRNaEx	0.00	599305.94	-3.03	-75.42	28.29
ASNtm	0.00	497759.13	-0.12	-17.93	17.70
ASNtN1	0.00	589715.31	-3.10	-94.44	6.11
ASPCTr	-7.52	505414.96	-7.80	-31.55	26.63
ASPDt6	0.00	560300.78	-6.01	-151.92	16.71
ASPDxt	0.00	306491.38	1.19	-16.62	19.01
ASPGLUm	0.00	416305.36	-14.99	-50.61	20.64
ASPNATm	-73.36	1173102.61	-74.05	-95.77	-40.86
ASPt6	0.00	544136.52	-6.01	-151.92	16.71
ASPTAm	-13.90	276866.54	-13.92	-49.55	21.71
ATP1ter	0.00	4.55	0.00	-45.66	18.81
ATP2ter	0.00	3.97	0.00	-45.66	17.63
ATPasel	16.68	100000.00	16.62	-29.04	4.56
ATPH1e	37.39	200000.00	36.73	-40.46	30.79
ATPH2e	20.71	100000.00	21.57	-25.93	27.51
ATPtm	0.00	4.55	-14.96	-21.27	16.02
ATPtn	0.00	3.43	0.00	-15.97	5.28
ATPtx	0.00	3.43	-4.21	-20.18	1.08
AVITE2t	0.00	1042741.67	0.00	-17.81	17.81
B_MANNASEly	-53.02	479213.25	-53.74	-101.24	-47.80
B3GALT3g	194.00	892731.38	193.32	152.62	217.94
B3GALT41g	626.28	629129.92	625.16	584.46	649.78
B3GALT42g	626.28	629129.92	625.16	584.46	649.78
B3GALT43g	626.28	629129.92	625.16	584.46	649.78
B3GALT44g	626.28	629129.92	625.16	584.46	649.78
B3GALT5g	626.28	629129.92	625.16	584.46	649.78
B3GALTg	626.28	629129.92	625.16	584.46	649.78
B3GNT11g	114.97	915418.60	114.29	73.59	138.91
B3GNT12g	-917.32	1040318.08	-4726.67	-4767.36	-4702.05
B3GNT310g	626.28	629129.92	625.16	584.46	649.78
B3GNT311g	626.28	629129.92	542.21	501.51	566.82
B3GNT312g	626.28	629129.92	625.16	584.46	649.78
B3GNT313g	626.28	629129.92	617.75	577.06	642.37
B3GNT314g	626.28	629129.92	625.16	584.46	649.78
B3GNT315g	551.81	890458.94	52.04	11.34	76.66
B3GNT31g	626.28	629129.92	625.16	584.46	649.78
B3GNT32g	626.28	629129.92	625.16	584.46	649.78
B3GNT33g	626.28	629129.92	625.16	584.46	649.78
B3GNT34g	114.97	915418.60	114.29	73.59	138.91
B3GNT35g	626.28	629129.92	625.16	584.46	649.78
B3GNT36g	263.67	478638.00	-2580.94	-2586.87	-2533.44
B3GNT37g	626.28	629129.92	625.16	584.46	649.78
B3GNT39g	-152.79	791234.02	1267.91	1227.21	1292.53
B3GNT51g	894.05	1033556.01	-528.46	-569.16	-503.84
BAAT1x	-32.04	1493498.50	-74.61	-110.24	-38.99
BAAT2x	-40.09	1566283.51	-82.76	-118.38	-47.13
BAAT3x	-49.77	1435228.14	-92.38	-128.01	-56.76
BAAT4x	-32.04	1519006.15	-74.65	-110.28	-39.02
BACCL	530.15	638233.66	531.27	511.27	553.65
BACCLm	530.15	638233.66	534.03	496.57	555.13
BALAtmr	0.00	289091.91	-0.02	-17.83	17.80
BALAVECSEC	16.68	305898.89	14.79	-48.69	20.53
BAMPPALDOX	205.70	756074.86	204.60	169.49	225.73
BBHOX	-521.32	588530.50	-564.89	-618.33	-511.45
BCDO	-214.30	1731816.15	-214.30	-249.92	-178.67
BDHm	104.77	697384.01	104.10	57.34	123.94
BETALDHxm	130.07	929601.05	177.63	130.87	197.48
BHBt	0.00	141421.36	-0.00	-17.81	17.81
BHBtm	0.00	141421.36	0.00	-17.81	17.82
BHMT	278.06	556642.87	234.58	198.96	270.21
BILDGLCURt	0.00	1493154.71	2.84	-32.79	38.47
