Reaction ID	Standard reaction Gibbs energy (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed reaction Gibbs energy (kJ/mol)	Minimum transformed reaction Gibbs energy (kJ/mol)	Maximum transformed reaction Gibbs energy (kJ/mol)
5ADTSTSTERONESte	0.00	368394.20	-2.89	-722073.35	722067.56
5ADTSTSTERONESULT	-216.23	361544.31	-217.26	-708879.74	708445.22
5ADTSTSTERONEte	0.00	354562.11	-0.00	-694959.55	694959.55
5ADTSTSTERONEtr	0.00	354562.11	0.00	-694959.55	694959.55
5AOPtm	0.00	6.98	-2.40	-33.90	29.10
5DHFtl	0.00	160356.77	-55.91	-314372.98	314261.17
5FTHFt2	0.00	160356.76	5.48	-314311.59	314322.55
5HLTDL	-44.58	43.72	-43.82	-177.02	47.81
5HOMEPRAZOLEte	0.00	141421.36	0.02	-277203.65	277203.69
5HOXINDACTO2OX	-157.18	51.20	-157.92	-293.89	-21.95
5HOXINOXDA	-125.05	50.75	-125.14	-278.97	-8.12
5HTRPVESSEC	-1735.36	100000.01	-1737.28	-197800.78	194268.48
5MTHFt	0.00	160356.76	2.13	-314314.93	314319.19
5MTHFt2	0.00	160356.76	2.13	-314314.93	314319.19
5THFtl	0.00	141421.36	-11.02	-277214.69	277192.66
5THFtm	0.00	141421.36	-88.83	-277292.50	277114.84
6DHFtl	0.00	141421.36	-11.04	-277214.71	277192.63
6DHFtm	0.00	141421.36	-100.36	-277304.03	277103.31
6HTSTSTERONEte	0.00	354562.11	0.00	-694959.55	694959.55
6HTSTSTERONEtr	0.00	354562.11	0.00	-694959.55	694959.55
6THFtl	0.00	141421.36	-11.04	-277214.71	277192.63
6THFtm	0.00	141421.36	-100.36	-277304.03	277103.31
7DHCHSTEROLtr	0.00	354562.11	0.00	-694959.56	694959.56
7DHFtl	0.00	141421.36	-14.71	-277218.38	277188.96
7DHFtm	0.00	141421.36	-119.08	-277322.75	277084.60
7THFtl	0.00	141421.36	-14.55	-277218.22	277189.12
7THFtm	0.00	141421.36	-118.73	-277322.40	277084.94
A_MANASEly	-30.13	26.99	-30.13	-160.22	16.83
A4GALTc	1552.32	100000.02	-59.78	-196095.45	195975.88
A4GALTg	1552.32	100000.02	129.38	-195911.36	196154.03
A4GNT1g	704.32	141421.36	703.64	-276522.93	277914.12
A4GNT2g	704.32	141421.36	703.64	-276522.93	277914.12
AACTOOR	-127.44	44.76	-126.66	-268.75	-21.39
AACTtm	0.00	10.36	17.35	-20.77	55.48
AASAD3m	78.61	60.58	77.26	-88.23	215.84
AATAi	-0.72	14.74	-0.72	-65.23	63.79
ABO1g	704.32	141421.36	703.64	-276522.93	277914.12
ABO2g	701.60	141421.36	700.48	-276526.08	277910.97
ABO3g	701.60	141421.36	700.48	-276526.08	277910.97
ABO4g	704.32	141421.36	703.64	-276522.93	277914.12
ABO5g	704.32	141421.36	703.64	-276522.93	277914.12
ABO6g	704.32	141421.36	611.05	-276615.51	277821.54
ABO7g	704.32	141421.36	811.03	-276415.53	278021.52
ABO8g	701.60	141421.36	700.48	-276526.08	277910.97
ABO9g	1403.21	141421.37	1400.96	-275848.51	278618.28
ABTArm	6.26	12.21	6.16	-53.39	65.70
ABTD	61.92	40.96	61.54	-53.84	162.96
ABTti	0.00	6.59	0.00	-30.73	30.73
ABUTt2rL	0.00	36.77	-1.58	-91.46	88.30
ABUTt4_2_r	0.00	282842.71	-6.01	-554469.06	554374.92
ACACT10m	-26.82	59.35	-26.81	-176.34	111.23
ACACT1rm	26.01	71.63	25.97	-136.14	199.57
ACACT1x	26.01	71.63	25.96	-150.07	201.98
ACACt2m	0.00	36.85	0.00	-90.04	90.05
ACACT4p	-40.03	60.90	-40.30	-195.29	114.68
ACACT5p	-40.03	62.19	-40.30	-197.82	117.21
ACACT6p	-40.03	63.67	-40.30	-200.72	120.11
ACACT7p	-40.03	65.33	-40.30	-203.97	123.36
ACACT8p	-39.08	67.29	-39.35	-206.86	128.16
ACACT9p	-40.03	75.83	-40.30	-224.55	143.95
ACACtx	0.00	9.54	-1.19	-37.70	35.33
ACALDtm	0.00	6.13	-0.00	-29.84	29.84
ACALDtr	0.00	6.13	0.00	-29.84	29.84
ACALDtx	0.00	6.13	0.00	-29.84	29.84
ACCOACm	-1719.10	100000.02	-1720.02	-197760.99	194318.76
ACCOAgt	0.00	41.34	-1.28	-100.12	97.57
ACCOALm	-1741.19	100000.01	-1738.09	-197790.96	194286.93
ACCOAtn	0.00	41.34	0.00	-98.85	98.85
ACCOAtr	0.00	41.34	0.00	-98.85	98.85
ACETONEt2	0.00	37.12	-2.89	-93.47	87.68
ACETONEt2m	0.00	37.12	-14.96	-105.53	75.62
ACGAGBSIDEtg	0.00	141421.36	-0.00	-277203.67	277203.67
ACGAGBSIDEtl	0.00	141421.36	-0.01	-277203.68	277203.67
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte	0.00	141421.36	-0.00	-277203.67	277203.67
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg	0.00	141421.36	0.00	-277203.67	277203.68
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	0.00	141421.36	-0.00	-277203.67	277203.67
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg	0.00	141421.36	0.00	-277203.67	277203.68
ACGALK	-1720.68	100000.01	-1721.67	-197767.35	194297.16
ACGALK2	26.65	34.47	25.67	-77.53	128.86
ACGALtlg	0.00	11.19	0.47	-39.28	40.22
ACGALtly	0.00	11.19	2.47	-37.28	42.23
ACGAM6PSi	4.69	49.64	4.06	-126.11	125.52
ACGAMK	-1729.89	100000.01	-1731.01	-197776.68	194287.82
ACGAMPM	4.58	13.95	4.70	-40.45	49.86
ACGAMtly	0.00	12.70	2.47	-40.24	45.19
ACGBGBSIDEtg	0.00	106904.50	373.31	-209177.33	209923.94
ACGBGBSIDEtl	0.00	106904.50	745.79	-208804.85	210296.42
ACGPID	-146.48	141421.36	-145.75	-277379.11	277046.05
ACGSm	3.76	49.13	3.09	-114.93	132.58
ACHEe	17.34	106904.50	16.59	-209563.74	209555.35
ACHtn	0.00	106904.50	0.00	-209550.63	209550.63
ACHVESSEC	-1735.36	146385.02	-1734.36	-288712.47	285186.02
ACITL	-1738.47	100000.01	-1739.53	-197809.36	194281.29
ACN13ACNGALGBSIDEte	0.00	141421.36	-5.79	-277209.46	277197.88
ACN13ACNGALGBSIDEtg	0.00	141421.36	-0.00	-277203.67	277203.67
ACN23ACNGALGBSIDEte	0.00	141421.36	-5.79	-277209.46	277197.88
ACN23ACNGALGBSIDEtg	0.00	141421.36	-0.00	-277203.67	277203.67
ACNACNGAL14ACGLCGALGLUSIDEte	0.00	16.50	126.91	76.75	177.06
ACNACNGAL14ACGLCGALGLUSIDEtg	0.00	16.50	-514.55	-564.71	-464.39
ACNACNGALGBSIDEte	0.00	141421.36	-5.79	-277209.46	277197.88
ACNACNGALGBSIDEtg	0.00	141421.36	-0.00	-277203.67	277203.67
ACNAM9PL	-50.86	17.06	-52.20	-109.38	15.67
ACNAM9PL2	-48.18	11.39	-49.38	-95.46	7.39
ACNAMlt	0.00	37.87	-2.31	-94.35	89.73
ACNAMPH	-11.02	14.80	-11.44	-76.08	22.32
ACNAMtn	0.00	12.93	0.00	-43.16	43.16
ACNGALACGLCGAL14ACGLCGALGLUSIDEte	0.00	141421.36	2.89	-277200.78	277206.57
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg	0.00	141421.36	0.00	-277203.67	277203.67
ACNMLr	3.06	12.95	3.05	-69.83	34.36
ACOAD10m	24.53	64.07	24.54	-136.67	185.74
ACOAD1fm	64.34	64.07	64.34	-96.86	225.54
ACOAD8m	24.53	64.07	24.54	-136.67	185.74
ACOAD9m	31.00	63.33	31.00	-128.74	190.75
ACOAHi	6.34	48.17	5.54	-133.61	94.41
ACOAO7p	-84.95	64.08	-84.92	-246.15	76.31
ACODA	4.45	18.61	4.71	-79.27	47.12
ACONTm	7.58	11.27	7.58	-32.31	47.48
ACOX22x	-190.67	354562.12	-190.66	-695162.10	694801.56
ACOX2x	-356.96	354562.12	-356.66	-695322.16	694650.40
ACP1_FMN_	-6.81	38.99	-7.48	-119.52	73.69
ACRNtm	0.00	106904.50	4.75	-209545.88	209555.39
ACS2	-1741.19	100000.01	-1741.23	-197779.47	194290.75
ACSm	-1751.33	100000.01	-1748.20	-197801.06	194276.82
ACSRTNMT	88.97	100000.01	88.26	-195947.38	196123.90
ACt2m	0.00	36.07	0.00	-88.50	88.51
ACt2r	0.00	36.07	-0.00	-88.51	88.50
ACtg	0.00	5.81	-0.03	-29.24	29.18
ACTLMO	-453.96	50.29	-453.60	-579.33	-297.04
ACTNMO	-395.78	49.97	-395.42	-520.52	-239.49
ADA	-79.65	38.66	-79.00	-191.32	-3.51
ADAe	-79.65	38.66	-79.06	-202.33	2.64
ADCim	-53.57	36.99	-52.82	-172.82	25.61
ADEt	0.00	15.34	-0.02	-47.91	47.87
ADK1m	-1754.23	100000.01	-1759.47	-197768.28	194261.34
ADK3	-6.90	141421.36	-8.50	-277236.40	277220.59
ADK3m	-6.90	141421.36	-12.13	-277219.29	277209.21
ADKd	-1741.95	100000.01	-1743.54	-197779.20	194292.11
ADMDC	-44.58	141421.36	-44.55	-277277.92	277147.26
ADNCYC	-1736.65	100000.00	-1736.28	-197768.16	194256.42
ADNK1m	-1715.43	100000.01	-1716.21	-197739.35	194304.74
ADNt	0.00	14.07	-0.00	-45.39	45.39
ADNt4	0.00	141421.36	-3.00	-277243.44	277196.37
ADNtl	0.00	14.07	0.07	-45.32	45.45
ADNtm	0.00	14.07	0.00	-45.39	45.39
ADPMAN	59.91	53.63	57.90	-106.60	163.49
ADPRIBt	0.00	21.18	5.79	-53.53	65.11
ADPtx	0.00	35.82	-3.02	-86.75	96.87
ADRNCOAtx	0.00	66.85	-5.00	-153.84	143.84
ADRNCPT1	6.45	106904.52	6.61	-209559.11	209563.61
ADRNCPT2	-6.45	106904.52	-6.44	-209572.49	209548.13
ADRNCRNt	0.00	106904.51	0.00	-209550.65	209550.65
ADRNLPVESSEC	-1735.36	173205.09	-1734.41	-341279.86	337753.30
ADRNt	0.00	39.23	2.89	-91.82	97.59
ADSK	-1718.15	100000.01	-1719.02	-197764.70	194299.82
ADSL1	14.34	17.03	14.35	-78.41	48.19
ADSL2	15.64	23.61	15.96	-77.82	68.17
AFLATOXINte	0.00	141421.36	-0.00	-277203.67	277203.67
AG13T16g	99.76	82.79	60.17	-142.80	247.07
AG13T17g	102.43	101.25	62.46	-176.68	285.53
AG13T18g	704.32	141421.36	665.19	-276561.37	277875.68
AG13T1g	102.43	73.02	62.75	-121.07	230.49
AG13T2g	102.43	91.68	62.66	-157.72	266.96
AG13T3g	704.32	141421.36	664.38	-276562.18	277874.87
AGMTm	-88.24	100000.01	-88.22	-196135.74	195917.73
AGPAT1	-1684.41	141421.37	-3283.05	-280501.80	273926.99
AGTim	-24.28	11.04	-24.38	-81.64	32.88
AGTix	-24.28	11.04	-24.29	-81.55	32.97
AHANDROSTANGLCte	-1735.36	368394.21	-1737.25	-723853.38	720321.14
AHANDROSTANGLCtr	0.00	354562.11	0.00	-694959.55	694959.55
AHCYStr	0.00	24.72	0.00	-66.27	66.27
AHEXASE2ly	-4918.41	100000.01	-4927.94	-201034.83	191054.26
AHEXASEly	-4245.61	100000.00	-4252.57	-200329.77	191741.50
AIRCr	51.36	40.09	48.50	-36.00	174.57
AKGDm	-17.67	57.95	-17.56	-193.29	119.77
AKGMALtm	0.00	12.33	0.02	-59.78	59.81
AKGt4_3	0.00	424264.07	-3.22	-831688.90	831559.26
AKGtp	0.00	9.50	-2.38	-38.80	34.05
AKR1C1	-62.18	354562.11	-61.82	-695042.60	694908.22
AKR1C41	-48.29	354562.11	-47.91	-695010.79	694928.94
AKR1C42	-48.29	354562.11	-47.91	-695010.79	694928.94
AKR1D	-67.12	354562.11	-66.75	-695047.53	694903.28
AKR1D2	-67.12	354562.11	-66.75	-695047.53	694903.28
ALAASNNaEx	0.00	141421.36	-3.00	-277261.25	277214.18
ALACYSNaEx	0.00	141421.36	-3.03	-277261.28	277214.16
ALADGLNexR	0.00	17.07	0.00	-69.09	69.09
ALADGLYexR	0.00	13.07	-0.01	-61.25	61.23
ALAGLNexR	0.00	16.56	0.00	-68.08	68.09
ALAGLNNaEx	0.00	141421.36	-3.00	-277261.25	277214.18
ALAGLYexR	0.00	12.39	-0.01	-59.92	59.90
ALASERNaEx	0.00	141421.36	-3.04	-277261.29	277214.15
ALASm	-4.35	54.80	-6.68	-165.50	122.05
ALAt4	0.00	141421.36	-2.99	-277243.43	277196.38
ALATA_L	0.99	11.65	0.99	-57.48	59.46
ALATHRNaEx	0.00	141421.36	-3.03	-277261.28	277214.15
ALAtN1	0.00	282842.71	-3.10	-554466.16	554377.83
ALCD21_D	64.44	40.77	64.06	-50.96	165.11
ALCD21_L	71.83	40.90	71.46	-43.81	172.76
ALCD22_D	59.53	40.99	59.16	-56.30	160.64
ALCD22_L	52.13	41.12	51.76	-63.95	153.50
ALCD2if	61.72	41.12	61.35	-54.35	163.08
ALCD2yf	61.99	42.78	61.62	-50.53	184.51
ALDD20x	35.03	63.56	33.90	-125.78	179.61
ALDD20xm	35.03	63.56	33.61	-137.73	178.02
ALDD21	35.03	67.15	33.89	-132.82	186.64
ALDD2xm	26.21	59.99	24.79	-139.56	162.23
ALDD2y	26.48	61.15	25.37	-122.78	184.25
ALDSTRNte	0.00	354562.11	0.00	-694959.55	694959.55
ALDSTRNtm	0.00	354562.11	0.00	-694959.55	694959.55
ALOX12	-40.92	100000.01	-40.92	-196046.87	196006.59
ALOX15	-40.92	100000.01	-40.92	-196046.87	196006.59
ALOX5	-40.92	100000.01	-40.91	-196046.86	196006.60
ALOX52	-311.21	100000.00	-311.21	-196329.04	195706.61
ALR2	-62.31	42.65	-61.95	-184.58	49.94
ALR3	-62.18	42.43	-61.82	-184.03	49.65
AMACR2p	-166.21	354562.11	-165.91	-695119.53	694808.49
AMACRp	0.00	354562.11	0.00	-694959.56	694959.56
AMCOXO	-83.49	50.69	-82.93	-240.05	26.64
AMETr	0.00	141421.36	0.00	-277203.67	277203.67
AMETt2m	0.00	141421.36	-14.98	-277236.47	277206.51
AMPDA	-91.10	39.23	-90.46	-198.43	-1.97
AMPTASECGe	-20.48	20.44	-20.56	-108.11	25.44
AMPtp	0.00	12.81	-2.52	-39.98	52.27
AMY1e	-146.75	74.09	-146.75	-547.30	-78.72
AMY2e	-5497.19	141421.36	-5497.19	-282938.39	271611.49
ANDRSTRNGLCte	-1735.36	368394.21	-1737.25	-723853.38	720321.14
ANDRSTRNGLCtr	0.00	354562.11	0.00	-694959.55	694959.55
ANDRSTRNte	0.00	354562.11	-0.00	-694959.55	694959.55
ANDRSTRNtr	0.00	354562.11	0.00	-694959.55	694959.55
ANTIPYRENEte	0.00	141421.36	-0.00	-277203.67	277203.67
AOBUTDsm	-44.58	36.67	-40.93	-160.30	36.87
APAT2rm	-3.00	22.58	-3.10	-82.99	76.79
APNNOXte	0.00	256347.98	-0.00	-502459.85	502459.85
APOCF	126.38	141421.36	125.66	-277066.14	277359.03
APOCFm	126.38	141421.36	125.80	-277066.00	277359.17
APOC_LYS_BTNP	-845.62	177281.05	-846.11	-348364.48	346630.69
APOC_LYS_BTNPm	-845.62	177281.05	-845.83	-348364.20	346630.98
APPNNte	0.00	177281.06	-0.00	-347488.68	347488.68
APRTO2	-125.05	46.20	-123.36	-268.27	-15.26
AQCOBALt	0.00	141421.36	-0.00	-277203.67	277203.67
ARAB_Lt	0.00	6.86	0.00	-31.26	31.26
ARABR	-52.09	42.77	-51.73	-174.58	60.39
ARACHCOAtx	0.00	57.54	-4.99	-135.58	125.59
ARACHCPT1	6.45	106904.51	6.60	-209559.11	209563.60
ARACHCPT2	-6.45	106904.51	-6.44	-209572.48	209548.13
ARACHCRNt	0.00	106904.51	0.00	-209550.64	209550.65
ARACHDCOAtx	0.00	64.67	-4.99	-149.55	139.58
ARACHDt2	0.00	36.52	2.89	-86.51	92.29
ARACHDtr	0.00	36.52	0.00	-89.40	89.40
ARACHt	0.00	32.86	2.89	-79.32	85.10
ARGDCm	-58.35	100000.01	-57.36	-196104.89	195948.60
ARGLYSex	0.00	34.03	0.02	-102.31	102.34
ARGNm	-70.32	30.13	-70.16	-176.72	-5.16
ARGSS	-1702.99	100000.01	-1703.63	-197753.33	194331.12
ARGt4	0.00	141421.36	-5.87	-277246.31	277193.51
ARGtm	0.00	46.72	-0.27	-109.65	109.11
ARSA	-522.47	141421.36	-522.47	-277755.84	276669.33
ARTCOAL1	-2904.91	141421.36	-2894.82	-280125.43	274285.51
ARTCOAL2	-2904.91	141421.36	-2894.82	-280125.43	274285.51
ARTCOAL3	-2904.91	141421.36	-2894.82	-280125.43	274285.51
R_group_phosphotase_1	1159.91	173205.08	1149.18	-338370.99	340663.12
R_group_phosphotase_2	1159.91	173205.08	1149.18	-338370.99	340663.12
R_group_phosphotase_3	1159.91	173205.08	1149.18	-338370.99	340663.12
ARTFR208	2882.19	125000.11	2846.01	-242287.79	247964.11
ARTPLM3	-3185.26	100000.01	-3150.88	-199168.71	192866.94
ARTPLM3m	-3185.26	100000.01	-3150.52	-199168.35	192867.30
ASAH1	53.47	141421.36	52.73	-277180.63	277244.53
ASCBOX	-242.41	200000.02	-326.96	-392380.45	391726.52
ASCBt	0.00	29.18	2.89	-72.11	77.89
ASCBt4	0.00	141421.36	-0.11	-277240.55	277199.26
ASNALANaEx	0.00	141421.36	-3.00	-277261.26	277214.18
ASNCYSNaEx	0.00	141421.36	-3.03	-277261.28	277214.16
ASNGLNNaEx	0.00	141421.36	-3.00	-277261.25	277214.18
ASNNm	-20.30	29.00	-20.84	-125.18	41.93
ASNS1	-1755.03	100000.01	-1755.67	-197835.05	194267.20
ASNSERNaEx	0.00	141421.36	-3.04	-277261.29	277214.15
ASNt4	0.00	141421.36	-2.99	-277243.43	277196.38
ASNTHRNaEx	0.00	141421.36	-3.03	-277261.28	277214.15
ASNtm	0.00	17.15	-0.12	-51.55	51.32
ASNtN1	0.00	282842.72	-3.10	-554466.16	554377.83
ASPCTr	19.98	33.72	19.70	-70.13	120.22
ASPDt6	0.00	447213.60	-6.01	-876690.57	876555.36
ASPDxt	0.00	7.29	1.19	-30.91	33.30
ASPGLUm	0.00	37.82	-14.99	-124.74	94.76
ASPNATm	14.19	48.74	13.49	-103.75	142.22
ASPt6	0.00	447213.60	-6.01	-876690.57	876555.36
ASPTAm	3.41	12.89	3.40	-57.49	64.29
ATP1ter	0.00	141421.36	0.00	-277231.53	277204.68
ATP2ter	0.00	141421.36	0.00	-277231.52	277203.49
ATPasel	-1735.36	100000.01	-1735.42	-197781.10	194252.52
ATPH1e	-1716.50	100000.01	-1717.16	-197794.38	194276.93
ATPH2e	18.87	37.47	19.72	-101.21	99.10
ATPtm	0.00	141421.36	-14.96	-277207.13	277201.89
ATPtn	0.00	141421.36	0.00	-277201.83	277191.14
ATPtx	0.00	141421.36	-4.21	-277206.04	277186.93
AVITE2t	0.00	67.37	0.00	-149.86	149.86
B_MANNASEly	-14.49	15.85	-15.21	-93.78	21.80
B3GALT3g	704.32	141421.36	703.64	-276522.93	277914.12
B3GALT41g	701.60	141421.36	700.48	-276526.08	277910.97
B3GALT42g	701.60	141421.36	700.48	-276526.08	277910.97
B3GALT43g	701.60	141421.36	700.48	-276526.08	277910.97
B3GALT44g	701.60	141421.36	700.48	-276526.08	277910.97
B3GALT5g	701.60	141421.36	700.48	-276526.08	277910.97
B3GALTg	701.60	141421.36	700.48	-276526.08	277910.97
B3GNT11g	704.32	141421.36	703.64	-276522.93	277914.12
B3GNT12g	-1170.68	100000.01	-4980.02	-201020.74	191044.62
B3GNT310g	701.60	141421.36	700.48	-276526.08	277910.97
B3GNT311g	701.60	141421.36	617.53	-276609.04	277828.01
B3GNT312g	701.60	141421.36	700.48	-276526.08	277910.97
B3GNT313g	701.60	141421.36	693.07	-276533.49	277903.56
B3GNT314g	701.60	141421.36	700.48	-276526.08	277910.97
B3GNT315g	2576.60	100000.01	6384.14	-189656.57	202408.78
B3GNT31g	701.60	141421.36	700.48	-276526.08	277910.97
B3GNT32g	701.60	141421.36	700.48	-276526.08	277910.97
B3GNT33g	701.60	141421.36	700.48	-276526.08	277910.97
B3GNT34g	704.32	141421.36	703.64	-276522.93	277914.12
B3GNT35g	701.60	141421.36	700.48	-276526.08	277910.97
B3GNT36g	199.59	125356.64	-2645.02	-248349.97	243101.49
B3GNT37g	701.60	141421.36	700.48	-276526.08	277910.97
B3GNT39g	-149.12	100000.02	1271.59	-194769.15	197296.24
B3GNT51g	1555.04	100000.02	132.53	-195908.20	196157.19
BAAT1x	37.41	354562.11	-5.17	-694982.54	694972.20
BAAT2x	-39.69	381725.41	-40.05	-748257.48	748177.39
BAAT3x	-17.27	354562.11	-17.58	-694994.95	694959.79
BAAT4x	-17.27	354562.11	-17.58	-694994.95	694959.79
BACCL	-540.51	207019.67	-539.40	-406317.96	405241.55
BACCLm	-540.51	207019.67	-536.63	-406332.66	405243.03
BALAtmr	0.00	22.81	-0.02	-62.54	62.51
