Metabolite ID	Standard Gibbs energy of formation (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed Gibbs energy of formation (kJ/mol)	Minimum transformed Gibbs energy of formation (kJ/mol)	Maximum transformed Gibbs energy of formation (kJ/mol)	Minimum concentration (M)	Maximum concentration (M)
h[e]	-0.00	0.00	43.94	0.00	0.00	3.98e-08	3.98e-08
2hb[e]	-507.26	9.17	-194.50	-242.16	-188.40	1.00e-05	1.00e-02
hco3[e]	-556.20	6.93	-511.63	-554.91	-509.93	1.00e-05	1.00e-02
hco3[c]	-556.20	6.93	-512.88	-556.16	-511.18	1.00e-05	1.00e-02
na1[e]	0.00	100000.00	-0.94	-196006.15	195994.26	1.33e-01	1.55e-01
na1[c]	0.00	100000.00	-1.05	-196042.61	195989.44	1.00e-07	2.50e-02
2mcit[c]	-1150.66	7.82	-846.26	-891.27	-842.82	1.00e-05	1.00e-02
2mcit[e]	-1150.66	7.82	-837.93	-882.94	-834.48	1.00e-05	1.00e-02
nadh[m]	-2268.62	22.18	-966.06	-1051.11	-940.15	1.00e-07	1.10e-03
nad[m]	-2298.09	22.80	-1043.85	-1108.13	-1011.78	5.00e-04	7.50e-03
2oxoadp[m]	-742.77	7.35	-453.32	-497.41	-450.79	1.00e-05	1.00e-02
coa[m]	-3124.08	28.24	-1580.40	-1651.52	-1539.36	2.20e-03	3.90e-03
co2[m]	-386.00	25.18	-386.00	-465.05	-348.52	1.00e-05	1.00e-02
glutcoa[m]	-3585.28	29.27	-1800.34	-1887.41	-1754.84	1.00e-05	1.00e-02
2oxoadp[c]	-742.77	7.35	-481.82	-525.92	-479.29	1.00e-05	1.00e-02
34dhmald[c]	-517.13	14.59	-169.23	-227.51	-152.51	1.00e-05	1.00e-02
34dhoxpeg[c]	-552.12	14.05	-117.24	-174.48	-101.57	1.00e-05	1.00e-02
34dhoxpeg[e]	-552.12	14.05	-105.39	-162.63	-89.72	1.00e-05	1.00e-02
34dhpha[c]	-586.08	14.47	-281.67	-339.72	-265.18	1.00e-05	1.00e-02
amet[c]	-339.57	100000.00	660.73	-195368.96	196648.85	1.00e-05	1.00e-02
ahcys[c]	-280.60	17.49	589.22	525.25	611.63	1.00e-05	1.00e-02
homoval[c]	-555.94	14.51	-164.51	-222.64	-147.95	1.00e-05	1.00e-02
34dhphe[e]	-586.03	14.58	-94.65	-152.92	-77.95	1.00e-05	1.00e-02
34dhphe[c]	-586.03	14.58	-107.68	-165.95	-90.97	1.00e-05	1.00e-02
34dhpac[c]	-359.19	14.61	-11.29	-69.62	5.48	1.00e-05	1.00e-02
34dhoxmand[c]	-744.02	14.50	-439.61	-497.73	-423.06	1.00e-05	1.00e-02
34hpp[m]	-478.69	16.38	-141.14	-202.93	-120.90	1.00e-05	1.00e-02
34hpl[m]	-540.79	11.17	-106.74	-158.33	-96.72	1.00e-05	1.00e-02
co2[c]	-386.00	25.18	-386.00	-465.05	-348.52	1.00e-05	1.00e-02
34hpp[c]	-478.69	16.38	-174.27	-236.07	-154.04	1.00e-05	1.00e-02
hgentis[c]	-586.08	14.47	-281.65	-339.71	-265.16	1.00e-05	1.00e-02
35cgmp[c]	-571.30	160356.75	-93.05	-314421.96	314194.30	1.00e-05	1.00e-02
35cgmp[n]	-571.30	160356.75	-93.05	-314421.96	314194.30	1.00e-05	1.00e-02
3aib[m]	-359.91	4.70	74.26	35.35	71.60	1.00e-05	1.00e-02
2mop[m]	-459.85	4.74	-218.64	-257.61	-221.23	1.00e-05	1.00e-02
glu_L[m]	-696.68	6.36	-310.87	-353.02	-310.28	1.00e-05	1.00e-02
3aib[c]	-359.91	4.70	31.52	-7.38	28.86	1.00e-05	1.00e-02
3dphb[m]	521.65	85.42	4622.13	4425.02	4777.68	1.00e-05	1.00e-02
3dpdhb[m]	324.77	86.14	4425.17	4226.64	4582.13	1.00e-05	1.00e-02
3dsphgn[c]	-200.79	20.01	1450.39	1381.48	1477.73	1.00e-05	1.00e-02
sphgn[c]	-233.27	20.15	1506.39	1437.20	1534.02	1.00e-05	1.00e-02
3hanthrn[c]	-371.63	15.51	-110.69	-170.78	-92.16	1.00e-05	1.00e-02
cmusa[c]	-663.69	12.71	-403.47	-458.07	-390.44	1.00e-05	1.00e-02
b2coa[m]	-3194.72	31.12	-1458.06	-1548.75	-1408.93	1.00e-05	1.00e-02
3hbcoa_R[m]	-3432.67	31.14	-1599.48	-1690.21	-1550.32	1.00e-05	1.00e-02
3hibutcoa[m]	-3413.17	29.35	-1579.98	-1667.20	-1534.33	1.00e-05	1.00e-02
3hmp[m]	-493.32	3.48	-155.62	-192.14	-160.67	1.00e-05	1.00e-02
glu_L[c]	-696.68	6.36	-348.76	-390.92	-348.17	1.00e-05	1.00e-02
hLkynr[c]	-484.36	16.56	37.46	-24.68	58.04	1.00e-05	1.00e-02
42A3HP24DB[c]	-603.52	17.27	-255.61	-319.15	-233.64	1.00e-05	1.00e-02
dopa[c]	-244.66	15.78	277.21	216.59	296.27	1.00e-05	1.00e-02
coa[c]	-3124.08	28.24	-1732.61	-1814.88	-1700.61	2.92e-05	1.17e-04
3hpp[c]	-519.32	9.22	-301.87	-349.63	-295.66	1.00e-05	1.00e-02
3mox4hpac[c]	-329.05	14.41	105.87	47.94	122.23	1.00e-05	1.00e-02
3mlda[c]	-129.88	13.27	174.15	118.44	188.29	1.00e-05	1.00e-02
3mlda[e]	-129.88	13.27	182.61	126.90	196.75	1.00e-05	1.00e-02
3mob[c]	-461.70	5.36	-157.25	-197.46	-158.62	1.00e-05	1.00e-02
3mob[m]	-461.70	5.36	-124.00	-164.20	-125.37	1.00e-05	1.00e-02
3mop[c]	-455.36	5.71	-63.93	-104.82	-64.60	1.00e-05	1.00e-02
3mop[m]	-455.36	5.71	-21.18	-62.06	-21.85	1.00e-05	1.00e-02
3m4hpga[c]	-486.98	14.31	-52.07	-109.81	-35.89	1.00e-05	1.00e-02
3mox4hoxm[c]	-713.87	14.47	-322.45	-380.50	-305.97	1.00e-05	1.00e-02
3moxtyr[c]	-214.51	15.16	394.36	334.96	412.21	1.00e-05	1.00e-02
h2o[l]	-220.41	4.38	-153.62	-162.20	-145.03	1.00e+00	1.00e+00
pi[l]	-1084.75	5.26	-1060.05	-1100.04	-1061.62	1.00e-05	1.00e-02
adn[l]	-190.06	9.95	244.05	194.86	251.68	1.00e-05	1.00e-02
3sala[m]	-330.25	100000.00	-89.38	-196119.07	195898.75	1.00e-05	1.00e-02
3sala[c]	-330.25	100000.00	-112.84	-196142.53	195875.28	1.00e-05	1.00e-02
asp_L[c]	-686.28	6.41	-425.36	-467.62	-424.67	1.00e-05	1.00e-02
asp_L[m]	-686.28	6.41	-396.93	-439.19	-396.24	1.00e-05	1.00e-02
hyptaur[c]	-4.98	100000.00	299.45	-195730.24	196287.57	1.00e-05	1.00e-02
3snpyr[c]	-496.98	100000.00	-410.00	-196439.69	195578.13	1.00e-05	1.00e-02
3snpyr[m]	-496.98	100000.00	-400.50	-196430.19	195587.63	1.00e-05	1.00e-02
so3[c]	-486.32	25.18	-488.59	-567.63	-451.10	1.00e-05	1.00e-02
pyr[m]	-476.43	3.99	-331.70	-369.21	-335.76	1.00e-05	1.00e-02
so3[m]	-486.32	25.18	-492.23	-571.28	-454.75	1.00e-05	1.00e-02
adrnl[c]	-395.04	100000.00	213.76	-195815.93	196201.89	1.00e-05	1.00e-02
mma[c]	-40.79	25.18	220.16	141.11	257.64	1.00e-05	1.00e-02
nrpphr[c]	-402.59	15.75	119.21	58.65	138.22	1.00e-05	1.00e-02
4abut[c]	-364.63	6.52	26.79	-15.67	27.70	1.00e-05	1.00e-02
4abut[m]	-364.63	6.52	69.53	27.06	70.43	1.00e-05	1.00e-02
coucoa[m]	-3239.62	33.40	-1406.59	-1501.74	-1353.01	1.00e-05	1.00e-02
4hbzcoa[m]	-3318.81	31.15	-1582.99	-1673.73	-1533.82	1.00e-05	1.00e-02
accoa[m]	-3276.93	29.26	-1636.71	-1723.75	-1591.24	1.00e-05	1.00e-02
4hbz[m]	-395.54	11.12	-154.42	-205.91	-144.49	1.00e-05	1.00e-02
4hdebrisoquine[e]	110.70	100000.01	736.22	-195293.48	196724.37	1.00e-05	1.00e-02
4hdebrisoquine[c]	110.70	100000.01	719.60	-195310.11	196707.74	1.00e-05	1.00e-02
4hglusa[m]	-627.24	4.64	-193.78	-232.57	-196.55	1.00e-05	1.00e-02
e4hglu[m]	-841.90	5.24	-456.26	-496.21	-457.87	1.00e-05	1.00e-02
4hoxpacd[c]	-162.30	10.22	185.61	135.90	193.77	1.00e-05	1.00e-02
4hphac[c]	-389.19	11.17	-84.77	-136.34	-74.76	1.00e-05	1.00e-02
4mop[c]	-452.76	8.79	-61.33	-108.24	-55.99	1.00e-05	1.00e-02
4mop[m]	-452.76	8.79	-18.58	-65.49	-13.23	1.00e-05	1.00e-02
4mptnl[c]	-115.24	6.33	406.67	364.58	407.20	1.00e-05	1.00e-02
4mptnl[e]	-115.24	6.33	420.92	378.83	421.45	1.00e-05	1.00e-02
4mptnl[m]	-115.24	6.33	463.67	421.58	464.20	1.00e-05	1.00e-02
4mtolbutamide[e]	-84.98	100000.00	719.25	-195310.44	196707.37	1.00e-05	1.00e-02
4mtolbutamide[c]	-84.98	100000.00	697.88	-195331.81	196686.00	1.00e-05	1.00e-02
4nphsf[e]	-826.32	122474.49	-647.60	-240727.28	239390.53	1.00e-05	1.00e-02
4nphsf[c]	-826.32	122474.49	-652.35	-240732.03	239385.78	1.00e-05	1.00e-02
4nph[c]	-35.47	100000.00	135.22	-195894.48	196123.34	1.00e-05	1.00e-02
4nph[e]	-35.47	100000.00	139.06	-195890.63	196127.19	1.00e-05	1.00e-02
4pyrdx[c]	-537.67	13.89	-189.73	-246.65	-174.38	1.00e-05	1.00e-02
4pyrdx[e]	-537.67	13.89	-180.23	-237.15	-164.88	1.00e-05	1.00e-02
5adtststeroneglc[c]	-2140.83	250713.27	-488.12	-491915.82	490898.02	1.00e-05	1.00e-02
5adtststeroneglc[e]	-2140.83	250713.27	-442.99	-491870.69	490943.15	1.00e-05	1.00e-02
5adtststeroneglc[r]	-2140.83	250713.27	-488.12	-491915.82	490898.02	1.00e-05	1.00e-02
5adtststerones[c]	-1958.35	260494.04	-697.07	-511295.08	509859.37	1.00e-05	1.00e-02
5adtststerones[e]	-1958.35	260494.04	-662.63	-511260.64	509893.81	1.00e-05	1.00e-02
5adtststerone[c]	-1232.62	250713.27	72.16	-491355.55	491458.29	1.00e-05	1.00e-02
5adtststerone[e]	-1232.62	250713.27	107.78	-491319.92	491493.92	1.00e-05	1.00e-02
5adtststerone[r]	-1232.62	250713.27	72.16	-491355.55	491458.29	1.00e-05	1.00e-02
5aop[c]	-477.82	4.94	-87.27	-126.64	-89.46	1.00e-05	1.00e-02
5aop[m]	-477.82	4.94	-46.91	-86.29	-49.10	1.00e-05	1.00e-02
5dhf[c]	-2558.30	113389.36	-514.26	-222787.09	221717.00	1.00e-05	1.00e-02
5dhf[l]	-2558.30	113389.36	-993.22	-223266.05	221238.04	1.00e-05	1.00e-02
h2o[e]	-220.41	4.38	-131.05	-139.64	-122.47	1.00e+00	1.00e+00
5fthf[e]	-489.65	113389.35	448.01	-221824.82	222679.27	1.00e-05	1.00e-02
5fthf[c]	-489.65	113389.35	422.76	-221850.06	222654.02	1.00e-05	1.00e-02
5htrp[c]	-301.45	17.47	220.41	156.48	242.77	1.00e-05	1.00e-02
srtn[c]	39.92	18.46	605.29	539.43	629.59	1.00e-05	1.00e-02
5homeprazole[e]	0.00	100000.00	848.86	-195180.83	196836.99	1.00e-05	1.00e-02
5homeprazole[c]	0.00	100000.00	826.32	-195203.37	196814.44	1.00e-05	1.00e-02
5hoxindact[c]	-74.61	17.79	316.80	252.24	339.81	1.00e-05	1.00e-02
5hoxindoa[c]	-301.50	19.64	46.42	-21.77	73.04	1.00e-05	1.00e-02
5htrp[e]	-301.45	17.47	234.63	170.71	256.99	1.00e-05	1.00e-02
5mthf[e]	-528.86	100000.01	542.31	-195487.40	196530.46	1.00e-05	1.00e-02
5mthf[c]	-528.86	100000.01	514.17	-195515.54	196502.32	1.00e-05	1.00e-02
5thf[c]	0.00	100000.00	1956.98	-194072.71	197945.10	1.00e-05	1.00e-02
5thf[l]	0.00	100000.00	1502.73	-194526.96	197490.85	1.00e-05	1.00e-02
5thf[m]	0.00	100000.00	2169.84	-193859.85	198157.96	1.00e-05	1.00e-02
6dhf[c]	0.00	100000.00	2129.13	-193900.55	198117.26	1.00e-05	1.00e-02
6dhf[l]	0.00	100000.00	1636.31	-194393.38	197624.43	1.00e-05	1.00e-02
6dhf[m]	0.00	100000.00	2357.56	-193672.12	198345.69	1.00e-05	1.00e-02
6htststerone[c]	-1359.84	250713.27	-142.05	-491569.75	491244.09	1.00e-05	1.00e-02
6htststerone[e]	-1359.84	250713.27	-108.79	-491536.50	491277.34	1.00e-05	1.00e-02
6htststerone[r]	-1359.84	250713.27	-142.05	-491569.75	491244.09	1.00e-05	1.00e-02
6thf[c]	0.00	100000.00	2216.12	-193813.57	198204.24	1.00e-05	1.00e-02
6thf[l]	0.00	100000.00	1703.11	-194326.58	197691.23	1.00e-05	1.00e-02
6thf[m]	0.00	100000.00	2454.05	-193575.64	198442.17	1.00e-05	1.00e-02
7dhchsterol[r]	-968.29	250713.28	945.38	-490482.32	492331.53	1.00e-05	1.00e-02
7dhchsterol[c]	-968.29	250713.28	945.38	-490482.32	492331.53	1.00e-05	1.00e-02
7dhf[c]	0.00	100000.00	2391.96	-193637.73	198380.08	1.00e-05	1.00e-02
7dhf[l]	0.00	100000.00	1836.74	-194192.95	197824.86	1.00e-05	1.00e-02
7dhf[m]	0.00	100000.00	2652.65	-193377.04	198640.78	1.00e-05	1.00e-02
7thf[c]	0.00	100000.00	2478.11	-193551.58	198466.24	1.00e-05	1.00e-02
7thf[l]	0.00	100000.00	1902.86	-194126.82	197890.99	1.00e-05	1.00e-02
7thf[m]	0.00	100000.00	2747.97	-193281.72	198736.09	1.00e-05	1.00e-02
man[c]	-904.14	4.93	-382.23	-421.58	-384.44	1.00e-05	1.00e-02
m2mn[l]	-2899.81	20.69	-1398.74	-1468.98	-1370.06	1.00e-05	1.00e-02
man[l]	-904.14	4.93	-503.36	-542.71	-505.57	1.00e-05	1.00e-02
mn[l]	-1562.32	11.28	-729.21	-781.01	-718.97	1.00e-05	1.00e-02
galgluside_hs[c]	-850.57	48.98	3194.12	3068.44	3278.24	1.00e-05	1.00e-02
udpgal[c]	-3141.97	17.61	-2186.54	-2250.75	-2163.89	1.00e-05	1.00e-02
thcrm_hs[c]	0.00	100000.00	2870.50	-193159.19	198858.63	1.00e-05	1.00e-02
udp[c]	-2440.34	17.33	-1965.58	-2029.23	-1943.49	1.00e-05	1.00e-02
h[g]	-0.00	0.00	37.70	0.00	0.00	4.47e-07	4.47e-07
galgluside_hs[g]	-850.57	48.98	2724.19	2598.51	2808.31	1.00e-05	1.00e-02
udpgal[g]	-3141.97	17.61	-2296.42	-2360.63	-2273.78	1.00e-05	1.00e-02
thcrm_hs[g]	0.00	100000.00	2537.39	-193492.30	198525.52	1.00e-05	1.00e-02
udp[g]	-2440.34	17.33	-2018.08	-2086.81	-2006.99	1.40e-06	1.40e-04
T_antigen[g]	0.00	100000.00	922.69	-195107.00	196910.81	1.00e-05	1.00e-02
uacgam[g]	-3144.38	22.74	-2183.94	-2258.20	-2151.24	1.00e-05	1.00e-02
gncore1[g]	0.00	100000.00	1422.48	-194607.21	197410.60	1.00e-05	1.00e-02
core2[g]	0.00	100000.00	1422.48	-194607.21	197410.60	1.00e-05	1.00e-02
gncore2[g]	0.00	100000.00	1922.27	-194107.42	197910.39	1.00e-05	1.00e-02
aact[c]	-143.99	7.33	203.07	159.01	205.57	1.00e-05	1.00e-02
mthgxl[c]	-260.91	5.47	-86.94	-127.35	-88.09	1.00e-05	1.00e-02
aact[m]	-143.99	7.33	238.67	194.61	241.17	1.00e-05	1.00e-02
L2aadp6sa[m]	-462.96	5.36	67.50	27.32	66.13	1.00e-05	1.00e-02
fucgalacglcgalgluside_hs[g]	0.00	100000.00	3421.64	-192608.05	199409.76	1.00e-05	1.00e-02
udpacgal[g]	-3144.38	22.74	-2183.94	-2258.20	-2151.24	1.00e-05	1.00e-02
acgalfucgalacglcgalgluside_hs[g]	0.00	100000.00	3921.43	-192108.26	199909.55	1.00e-05	1.00e-02
galfucgalacglcgalgluside_hs[g]	0.00	100000.00	3806.09	-192223.60	199794.21	1.00e-05	1.00e-02
fuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	3421.64	-192608.05	199409.76	1.00e-05	1.00e-02
galfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	3806.09	-192223.60	199794.21	1.00e-05	1.00e-02
acgalfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	3921.43	-192108.26	199909.55	1.00e-05	1.00e-02
fucgalacgalfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	4690.33	-191339.36	200678.46	1.00e-05	1.00e-02
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	5190.12	-190839.57	201178.25	1.00e-05	1.00e-02
fucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	4305.88	-191723.81	200294.00	1.00e-05	1.00e-02
acgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	0.00	-196029.69	195988.12	1.00e-05	1.00e-02
fucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	0.00	-196029.69	195988.12	1.00e-05	1.00e-02
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	6074.36	-189955.32	202062.49	1.00e-05	1.00e-02
galfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	4690.33	-191339.36	200678.46	1.00e-05	1.00e-02
fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	5574.57	-190455.11	201562.70	1.00e-05	1.00e-02
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	6343.48	-189686.21	202331.61	1.00e-05	1.00e-02
sucsal[m]	-466.49	4.57	-225.27	-263.93	-228.18	1.00e-05	1.00e-02
abt[c]	-779.92	4.66	-258.01	-296.84	-260.75	1.00e-05	1.00e-02
xylu_L[c]	-747.44	3.44	-312.52	-348.96	-317.65	1.00e-05	1.00e-02
abt[e]	-779.92	4.66	-243.76	-282.59	-246.50	1.00e-05	1.00e-02
h[l]	-0.00	0.00	32.66	0.00	0.00	3.16e-06	3.16e-06
4abut[l]	-364.63	6.52	-64.31	-106.77	-63.40	1.00e-05	1.00e-02
4abut[e]	-364.63	6.52	37.48	-4.99	38.39	1.00e-05	1.00e-02
2maacoa[m]	-3381.55	30.82	-1548.36	-1638.46	-1499.82	1.00e-05	1.00e-02
ppcoa[m]	-3267.57	29.40	-1530.90	-1618.22	-1485.15	1.00e-05	1.00e-02
aacoa[m]	-3403.74	30.29	-1667.04	-1756.10	-1619.55	1.00e-05	1.00e-02
coa[x]	-3124.08	28.24	-1770.76	-1855.80	-1727.29	1.00e-05	1.00e-02
accoa[x]	-3276.93	29.26	-1838.91	-1925.95	-1793.45	1.00e-05	1.00e-02
aacoa[x]	-3403.74	30.29	-1881.10	-1970.16	-1833.60	1.00e-05	1.00e-02
acac[c]	-496.65	6.74	-279.19	-322.09	-277.86	1.00e-05	1.00e-02
acac[m]	-496.65	6.74	-255.44	-298.34	-254.10	1.00e-05	1.00e-02
3odcoa[x]	-3348.63	32.66	-1318.31	-1412.01	-1266.17	1.00e-05	1.00e-02
occoa[x]	-3235.86	31.54	-1290.50	-1382.00	-1240.57	1.00e-05	1.00e-02
3oddcoa[x]	-3335.95	33.90	-1136.40	-1232.54	-1081.83	1.00e-05	1.00e-02
dcacoa[x]	-3223.17	32.72	-1108.60	-1202.42	-1056.34	1.00e-05	1.00e-02
3otdcoa[x]	-3323.26	35.30	-954.50	-1053.38	-897.18	1.00e-05	1.00e-02
ddcacoa[x]	-3210.49	34.07	-926.69	-1023.15	-871.80	1.00e-05	1.00e-02
3ohdcoa[x]	-3310.57	36.83	-772.59	-874.48	-712.27	1.00e-05	1.00e-02
tdcoa[x]	-3197.80	35.56	-744.79	-844.16	-686.97	1.00e-05	1.00e-02
