Metabolite ID	Standard Gibbs energy of formation (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed Gibbs energy of formation (kJ/mol)	Minimum transformed Gibbs energy of formation (kJ/mol)	Maximum transformed Gibbs energy of formation (kJ/mol)	Minimum concentration (M)	Maximum concentration (M)
3hmp[m]	-493.31	3.48	-155.61	-192.12	-160.67	1.00e-05	1.00e-02
glu_L[c]	-696.56	6.36	-348.64	-390.80	-348.05	1.00e-05	1.00e-02
hLkynr[c]	-484.12	16.54	37.70	-24.41	58.25	1.00e-05	1.00e-02
42A3HP24DB[c]	-603.42	17.25	-255.51	-319.02	-233.57	1.00e-05	1.00e-02
dopa[c]	-244.40	15.77	277.47	216.88	296.50	1.00e-05	1.00e-02
coa[c]	-3125.11	28.22	-1733.63	-1815.86	-1701.68	2.92e-05	1.17e-04
3hpp[c]	-519.32	9.24	-301.87	-349.66	-295.64	1.00e-05	1.00e-02
3mox4hpac[c]	-328.68	14.39	106.24	48.34	122.58	1.00e-05	1.00e-02
3mlda[c]	-129.98	13.26	174.05	118.36	188.17	1.00e-05	1.00e-02
3mlda[e]	-129.98	13.26	182.51	126.82	196.63	1.00e-05	1.00e-02
3mob[c]	-461.73	5.36	-157.28	-197.47	-158.65	1.00e-05	1.00e-02
3mob[m]	-461.73	5.36	-124.03	-164.22	-125.40	1.00e-05	1.00e-02
3mop[c]	-455.39	5.71	-63.95	-104.83	-64.64	1.00e-05	1.00e-02
3mop[m]	-455.39	5.71	-21.20	-62.08	-21.89	1.00e-05	1.00e-02
3m4hpga[c]	-486.61	14.30	-51.70	-109.41	-35.54	1.00e-05	1.00e-02
3mox4hoxm[c]	-713.57	14.46	-322.14	-380.17	-305.68	1.00e-05	1.00e-02
3moxtyr[c]	-214.05	15.15	394.83	335.45	412.65	1.00e-05	1.00e-02
h2o[l]	-220.21	4.38	-153.41	-161.99	-144.83	1.00e+00	1.00e+00
pi[l]	-1084.61	5.25	-1059.92	-1099.90	-1061.50	1.00e-05	1.00e-02
adn[l]	-190.06	9.95	244.05	194.86	251.67	1.00e-05	1.00e-02
3sala[m]	-330.52	100000.00	-89.65	-196119.34	195898.47	1.00e-05	1.00e-02
3sala[c]	-330.52	100000.00	-113.11	-196142.80	195875.01	1.00e-05	1.00e-02
asp_L[c]	-686.52	6.41	-425.61	-467.86	-424.91	1.00e-05	1.00e-02
asp_L[m]	-686.52	6.41	-397.18	-439.44	-396.49	1.00e-05	1.00e-02
hyptaur[c]	-5.25	100000.00	299.18	-195730.51	196287.31	1.00e-05	1.00e-02
3snpyr[c]	-497.21	100000.00	-410.23	-196439.92	195577.90	1.00e-05	1.00e-02
3snpyr[m]	-497.21	100000.00	-400.72	-196430.41	195587.40	1.00e-05	1.00e-02
so3[c]	-486.32	25.17	-488.59	-567.61	-451.13	1.00e-05	1.00e-02
pyr[m]	-476.44	3.99	-331.71	-369.22	-335.77	1.00e-05	1.00e-02
so3[m]	-486.32	25.17	-492.23	-571.25	-454.77	1.00e-05	1.00e-02
adrnl[c]	-394.87	100000.00	213.94	-195815.76	196202.06	1.00e-05	1.00e-02
mma[c]	-40.79	25.17	220.16	141.14	257.62	1.00e-05	1.00e-02
nrpphr[c]	-402.33	15.74	119.47	58.93	138.45	1.00e-05	1.00e-02
4abut[c]	-364.68	6.52	26.74	-15.73	27.64	1.00e-05	1.00e-02
4abut[m]	-364.68	6.52	69.47	27.00	70.38	1.00e-05	1.00e-02
coucoa[m]	-3465.88	46.96	-1439.88	-1561.61	-1359.72	1.00e-05	1.00e-02
4hbzcoa[m]	-3319.91	31.12	-1584.09	-1674.78	-1534.97	1.00e-05	1.00e-02
accoa[m]	-3277.94	29.23	-1637.72	-1724.71	-1592.30	1.00e-05	1.00e-02
4hbz[m]	-395.54	11.11	-154.42	-205.90	-144.52	1.00e-05	1.00e-02
4hdebrisoquine[e]	109.41	100000.01	734.93	-195294.78	196723.07	1.00e-05	1.00e-02
4hdebrisoquine[c]	109.41	100000.01	718.30	-195311.40	196706.45	1.00e-05	1.00e-02
4hglusa[m]	-627.21	4.64	-193.75	-232.53	-196.53	1.00e-05	1.00e-02
e4hglu[m]	-841.86	5.23	-456.21	-496.16	-457.83	1.00e-05	1.00e-02
4hoxpacd[c]	-162.24	10.21	185.67	135.98	193.81	1.00e-05	1.00e-02
4hphac[c]	-389.20	11.16	-84.77	-136.33	-74.78	1.00e-05	1.00e-02
4mop[c]	-452.71	8.79	-61.28	-108.20	-55.93	1.00e-05	1.00e-02
4mop[m]	-452.71	8.79	-18.53	-65.45	-13.17	1.00e-05	1.00e-02
4mptnl[c]	-115.26	6.32	406.65	364.57	407.17	1.00e-05	1.00e-02
4mptnl[e]	-115.26	6.32	420.90	378.82	421.42	1.00e-05	1.00e-02
4mptnl[m]	-115.26	6.32	463.66	421.57	464.18	1.00e-05	1.00e-02
4mtolbutamide[e]	-84.92	100000.00	719.31	-195310.39	196707.43	1.00e-05	1.00e-02
4mtolbutamide[c]	-84.92	100000.00	697.93	-195331.76	196686.06	1.00e-05	1.00e-02
4nphsf[e]	-826.36	122474.49	-647.64	-240727.32	239390.49	1.00e-05	1.00e-02
4nphsf[c]	-826.36	122474.49	-652.39	-240732.07	239385.74	1.00e-05	1.00e-02
4nph[c]	-83.19	100000.00	131.00	-195898.69	196119.12	1.00e-05	1.00e-02
4nph[e]	-83.19	100000.00	136.03	-195893.66	196124.16	1.00e-05	1.00e-02
4pyrdx[c]	-585.10	12.49	-193.67	-247.84	-181.06	1.00e-05	1.00e-02
4pyrdx[e]	-585.10	12.49	-182.98	-237.15	-170.37	1.00e-05	1.00e-02
5adtststeroneglc[c]	-2139.48	250713.27	-486.77	-491914.47	490899.37	1.00e-05	1.00e-02
5adtststeroneglc[e]	-2139.48	250713.27	-441.64	-491869.34	490944.50	1.00e-05	1.00e-02
5adtststeroneglc[r]	-2139.48	250713.27	-486.77	-491914.47	490899.37	1.00e-05	1.00e-02
5adtststerones[c]	-1957.20	260494.04	-695.92	-511293.93	509860.52	1.00e-05	1.00e-02
5adtststerones[e]	-1957.20	260494.04	-661.48	-511259.49	509894.96	1.00e-05	1.00e-02
5adtststerone[c]	-1231.30	250713.27	73.48	-491354.23	491459.62	1.00e-05	1.00e-02
5adtststerone[e]	-1231.30	250713.27	109.10	-491318.60	491495.24	1.00e-05	1.00e-02
5adtststerone[r]	-1231.30	250713.27	73.48	-491354.23	491459.62	1.00e-05	1.00e-02
5aop[c]	-477.79	4.94	-87.24	-126.61	-89.44	1.00e-05	1.00e-02
5aop[m]	-477.79	4.94	-46.89	-86.26	-49.08	1.00e-05	1.00e-02
5dhf[c]	-2558.01	113389.36	-513.97	-222786.80	221717.29	1.00e-05	1.00e-02
5dhf[l]	-2558.01	113389.36	-992.93	-223265.76	221238.34	1.00e-05	1.00e-02
h2o[e]	-220.21	4.38	-130.85	-139.43	-122.27	1.00e+00	1.00e+00
5fthf[e]	-489.00	113389.35	448.66	-221824.17	222679.92	1.00e-05	1.00e-02
5fthf[c]	-489.00	113389.35	423.41	-221849.41	222654.67	1.00e-05	1.00e-02
5htrp[c]	-301.54	17.45	220.32	156.42	242.65	1.00e-05	1.00e-02
srtn[c]	39.88	18.44	605.25	539.41	629.51	1.00e-05	1.00e-02
5homeprazole[e]	0.00	100000.00	848.86	-195180.83	196836.99	1.00e-05	1.00e-02
5homeprazole[c]	0.00	100000.00	826.32	-195203.37	196814.44	1.00e-05	1.00e-02
5hoxindact[c]	-74.75	17.78	316.66	252.12	339.63	1.00e-05	1.00e-02
5hoxindoa[c]	-301.71	19.62	46.21	-21.94	72.80	1.00e-05	1.00e-02
5htrp[e]	-301.54	17.45	234.54	170.64	256.87	1.00e-05	1.00e-02
5mthf[e]	-465.71	113389.35	649.80	-221623.02	222881.05	1.00e-05	1.00e-02
5mthf[c]	-465.71	113389.35	620.53	-221652.28	222851.78	1.00e-05	1.00e-02
5thf[c]	0.00	100000.00	1956.98	-194072.71	197945.10	1.00e-05	1.00e-02
5thf[l]	0.00	100000.00	1502.73	-194526.96	197490.85	1.00e-05	1.00e-02
5thf[m]	0.00	100000.00	2169.84	-193859.85	198157.96	1.00e-05	1.00e-02
6dhf[c]	0.00	100000.00	2129.13	-193900.55	198117.26	1.00e-05	1.00e-02
6dhf[l]	0.00	100000.00	1636.31	-194393.38	197624.43	1.00e-05	1.00e-02
6dhf[m]	0.00	100000.00	2357.56	-193672.12	198345.69	1.00e-05	1.00e-02
6htststerone[c]	-1358.93	250713.27	-141.14	-491568.84	491245.00	1.00e-05	1.00e-02
6htststerone[e]	-1358.93	250713.27	-107.89	-491535.59	491278.25	1.00e-05	1.00e-02
6htststerone[r]	-1358.93	250713.27	-141.14	-491568.84	491245.00	1.00e-05	1.00e-02
6thf[c]	0.00	100000.00	2216.12	-193813.57	198204.24	1.00e-05	1.00e-02
6thf[l]	0.00	100000.00	1703.11	-194326.58	197691.23	1.00e-05	1.00e-02
6thf[m]	0.00	100000.00	2454.05	-193575.64	198442.17	1.00e-05	1.00e-02
7dhchsterol[r]	-967.63	250713.28	946.03	-490481.67	492332.18	1.00e-05	1.00e-02
7dhchsterol[c]	-967.63	250713.28	946.03	-490481.67	492332.18	1.00e-05	1.00e-02
7dhf[c]	0.00	100000.00	2391.96	-193637.73	198380.08	1.00e-05	1.00e-02
7dhf[l]	0.00	100000.00	1836.74	-194192.95	197824.86	1.00e-05	1.00e-02
7dhf[m]	0.00	100000.00	2652.65	-193377.04	198640.78	1.00e-05	1.00e-02
7thf[c]	0.00	100000.00	2478.11	-193551.58	198466.24	1.00e-05	1.00e-02
7thf[l]	0.00	100000.00	1902.86	-194126.82	197890.99	1.00e-05	1.00e-02
7thf[m]	0.00	100000.00	2747.97	-193281.72	198736.09	1.00e-05	1.00e-02
man[c]	-904.08	4.93	-382.17	-421.52	-384.38	1.00e-05	1.00e-02
m2mn[l]	-2900.00	20.67	-1398.92	-1469.13	-1370.28	1.00e-05	1.00e-02
man[l]	-904.08	4.93	-503.30	-542.65	-505.51	1.00e-05	1.00e-02
mn[l]	-1562.39	11.27	-729.28	-781.07	-719.06	1.00e-05	1.00e-02
galgluside_hs[c]	-850.72	48.94	3193.98	3068.37	3278.02	1.00e-05	1.00e-02
udpgal[c]	-3141.93	17.60	-2186.50	-2250.69	-2163.88	1.00e-05	1.00e-02
thcrm_hs[c]	0.00	100000.00	2870.50	-193159.19	198858.63	1.00e-05	1.00e-02
udp[c]	-2440.33	17.32	-1965.56	-2029.19	-1943.50	1.00e-05	1.00e-02
h[g]	-0.00	0.00	37.70	0.00	0.00	4.47e-07	4.47e-07
galgluside_hs[g]	-850.72	48.94	2724.04	2598.44	2808.08	1.00e-05	1.00e-02
udpgal[g]	-3141.93	17.60	-2296.39	-2360.57	-2273.77	1.00e-05	1.00e-02
thcrm_hs[g]	0.00	100000.00	2537.39	-193492.30	198525.52	1.00e-05	1.00e-02
udp[g]	-2440.33	17.32	-2018.06	-2086.76	-2007.01	1.40e-06	1.40e-04
T_antigen[g]	0.00	100000.00	922.69	-195107.00	196910.81	1.00e-05	1.00e-02
uacgam[g]	-3144.65	22.72	-2184.21	-2258.43	-2151.54	1.00e-05	1.00e-02
gncore1[g]	0.00	100000.00	1422.48	-194607.21	197410.60	1.00e-05	1.00e-02
core2[g]	0.00	100000.00	1422.48	-194607.21	197410.60	1.00e-05	1.00e-02
gncore2[g]	0.00	100000.00	1922.27	-194107.42	197910.39	1.00e-05	1.00e-02
aact[c]	-143.92	7.33	203.14	159.09	205.62	1.00e-05	1.00e-02
mthgxl[c]	-260.94	5.47	-86.97	-127.39	-88.12	1.00e-05	1.00e-02
aact[m]	-143.92	7.33	238.74	194.69	241.22	1.00e-05	1.00e-02
L2aadp6sa[m]	-462.93	5.35	67.53	27.35	66.15	1.00e-05	1.00e-02
fucgalacglcgalgluside_hs[g]	0.00	100000.00	3421.64	-192608.05	199409.76	1.00e-05	1.00e-02
udpacgal[g]	-3144.65	22.72	-2184.21	-2258.43	-2151.54	1.00e-05	1.00e-02
acgalfucgalacglcgalgluside_hs[g]	0.00	100000.00	3921.43	-192108.26	199909.55	1.00e-05	1.00e-02
galfucgalacglcgalgluside_hs[g]	0.00	100000.00	3806.09	-192223.60	199794.21	1.00e-05	1.00e-02
fuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	3421.64	-192608.05	199409.76	1.00e-05	1.00e-02
galfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	3806.09	-192223.60	199794.21	1.00e-05	1.00e-02
acgalfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	3921.43	-192108.26	199909.55	1.00e-05	1.00e-02
fucgalacgalfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	4690.33	-191339.36	200678.46	1.00e-05	1.00e-02
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	5190.12	-190839.57	201178.25	1.00e-05	1.00e-02
fucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	4305.88	-191723.81	200294.00	1.00e-05	1.00e-02
acgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	0.00	-196029.69	195988.12	1.00e-05	1.00e-02
fucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	0.00	-196029.69	195988.12	1.00e-05	1.00e-02
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	6074.36	-189955.32	202062.49	1.00e-05	1.00e-02
galfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	4690.33	-191339.36	200678.46	1.00e-05	1.00e-02
fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	5574.57	-190455.11	201562.70	1.00e-05	1.00e-02
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	6343.48	-189686.21	202331.61	1.00e-05	1.00e-02
sucsal[m]	-466.43	4.57	-225.21	-263.87	-228.13	1.00e-05	1.00e-02
abt[c]	-779.88	4.66	-257.97	-296.79	-260.71	1.00e-05	1.00e-02
xylu_L[c]	-747.42	3.44	-312.50	-348.93	-317.63	1.00e-05	1.00e-02
abt[e]	-779.88	4.66	-243.72	-282.54	-246.46	1.00e-05	1.00e-02
h[l]	-0.00	0.00	32.66	0.00	0.00	3.16e-06	3.16e-06
4abut[l]	-364.68	6.52	-64.36	-106.83	-63.46	1.00e-05	1.00e-02
4abut[e]	-364.68	6.52	37.43	-5.04	38.33	1.00e-05	1.00e-02
2maacoa[m]	-3382.67	30.80	-1549.49	-1639.54	-1501.00	1.00e-05	1.00e-02
ppcoa[m]	-3256.67	30.38	-1520.00	-1609.24	-1472.33	1.00e-05	1.00e-02
aacoa[m]	-3404.75	30.27	-1668.04	-1757.06	-1620.59	1.00e-05	1.00e-02
coa[x]	-3125.11	28.22	-1771.79	-1856.78	-1728.36	1.00e-05	1.00e-02
accoa[x]	-3277.94	29.23	-1839.92	-1926.91	-1794.50	1.00e-05	1.00e-02
aacoa[x]	-3404.75	30.27	-1882.10	-1971.11	-1834.65	1.00e-05	1.00e-02
acac[c]	-496.51	6.75	-279.05	-321.96	-277.70	1.00e-05	1.00e-02
acac[m]	-496.51	6.75	-255.30	-298.21	-253.95	1.00e-05	1.00e-02
3odcoa[x]	-3349.75	32.63	-1319.43	-1413.07	-1267.34	1.00e-05	1.00e-02
occoa[x]	-3236.95	31.51	-1291.60	-1383.05	-1241.71	1.00e-05	1.00e-02
3oddcoa[x]	-3337.06	33.88	-1137.52	-1233.61	-1083.00	1.00e-05	1.00e-02
dcacoa[x]	-3224.27	32.69	-1109.69	-1203.46	-1057.49	1.00e-05	1.00e-02
3otdcoa[x]	-3324.38	35.27	-955.62	-1054.44	-898.36	1.00e-05	1.00e-02
ddcacoa[x]	-3211.58	34.04	-927.79	-1024.19	-872.95	1.00e-05	1.00e-02
3ohdcoa[x]	-3311.70	36.80	-773.71	-875.54	-713.45	1.00e-05	1.00e-02
tdcoa[x]	-3198.90	35.53	-745.88	-845.20	-688.13	1.00e-05	1.00e-02
