Var1 Var2 Var3
ACACT10m_f -0.663886617 0.063137759
ACACT1r_f NaN 0
ACACT1rm -1.008254133 0.006423783
ACACT1x NaN 0
ACACT4p NaN 0
ACACT5p NaN 0
ACACT6p NaN 0
ACACT7p NaN 0
ACACT8p NaN 0
ACACT9p NaN 0
ACCOAC NaN 0
ACCOACm NaN 0
ACCOAL NaN 0
ACCOALm NaN 0
ACGALK NaN 0
ACGALK2 NaN 0
ACGAM2E_f -0.760606828 0.313528667
ACGAM6PSi 0.57193476 0.20867297
ACGAMK 0.036269029 0.911383812
ACGAMPM_f -0.257036537 0.540724548
ACGPID -0.161557009 0.665113641
ACGSm 3.345603642 0.002696373
ACHEe NaN 0
ACITL NaN 0
ACNAM9PL 1.023575694 0.011521852
ACNAM9PL2 1.023575694 0.011521852
ACNAMPH 0.011485254 0.97580907
ACNMLr_f NaN 0
ACOAD10m NaN 0
ACOAD1fm NaN 0
ACOAD8m 0.056948988 0.895361628
ACOAD9m NaN 0
ACOAHi NaN 0
ACOAO7p NaN 0
ACOATA_f NaN 0
ACODA NaN 0
ACONT_f -1.236046524 0.001230794
ACONTm_f NaN 0
ACOX22x NaN 0
ACOX2x NaN 0
ACP1_FMN_ NaN 0
ACS NaN 0
ACS2 NaN 0
ACSm NaN 0
ACSOMT NaN 0
ACSRTNMT NaN 0
ACTLMO 0.270019701 0.686516142
ACTNMO 0.270019701 0.686516142
ACYP 0.082264803 0.849104907
ADA NaN 0
ADAe NaN 0
ADCim NaN 0
ADK1_f 0.441797723 0.15349802
ADK1m_f 0.441797723 0.15349802
ADK3_f NaN 0
ADK3m_f NaN 0
ADKd_f NaN 0
ADMDC NaN 0
ADNCYC NaN 0
ADNK1 NaN 0
ADNK1m NaN 0
ADPGLC 0.752816615 0.065790303
ADPMAN 0.752816615 0.065790303
ADPRDP 0.752816615 0.065790303
ADPRDPm 0.560677432 0.155448821
ADPT NaN 0
ADRNCPT1 -0.814654505 0.046882112
ADRNCPT2 NaN 0
ADSELK 0.701721538 0.030844757
ADSK 0.701721538 0.030844757
ADSL1 NaN 0
ADSL2 NaN 0
ADSS 0.915006671 0.057819954
AG13T10g NaN 0
AG13T11g NaN 0
AG13T12g NaN 0
AG13T13g NaN 0
AG13T14g NaN 0
AG13T15g NaN 0
AG13T16g NaN 0
AG13T17g NaN 0
AG13T18g NaN 0
AG13T1g NaN 0
AG13T2g NaN 0
AG13T3g NaN 0
AG13T4g NaN 0
AG13T5g NaN 0
AG13T6g NaN 0
AG13T7g NaN 0
AG13T8g NaN 0
AG13T9g NaN 0
AGDC NaN 0
AGLPC NaN 0
AGLPED NaN 0
AGLPET NaN 0
AGLPH NaN 0
AGLPR NaN 0
AGLPT NaN 0
AGMTm NaN 0
AGPAT1 2.128934692 0.000723628
AGPRim 1.145875965 0.001930515
AGTim NaN 0
AGTix NaN 0
AHC_f NaN 0
AHEXASE2ly -0.375162434 0.330222803
AHEXASEly -0.375162434 0.330222803
AICART_f NaN 0
AKGDm -1.141595177 0.005163048
AKR1C1 NaN 0
AKR1C41 NaN 0
AKR1C42 NaN 0
AKR1D NaN 0
AKR1D2 NaN 0
ALAR_f NaN 0
ALASm 2.89711914 0.000164663
ALATA_L_f -0.357797816 0.594684845
ALCD1_f -0.510495039 0.052687749
ALCD21_L -0.510495039 0.052687749
ALCD22_L -0.510495039 0.052687749
ALCD2if -0.510495039 0.052687749
ALCD2yf NaN 0
ALDD20x NaN 0
ALDD20xm NaN 0
ALDD21 NaN 0
ALDD2x -0.5001358 0.365753103
ALDD2xm NaN 0
ALDD2y -0.5001358 0.365753103
ALKP NaN 0
ALOX12 NaN 0
ALOX12R NaN 0
ALOX15 NaN 0
ALOX5 -1.017265444 0.089258777
ALOX52 -1.017265444 0.089258777
ALR2 0.816104016 0.135106772
ALR3 0.816104016 0.135106772
AMACR2p NaN 0
AMACR2r NaN 0
AMACRp NaN 0
AMACRr NaN 0
AMANK 0.036269029 0.911383812
AMCOXO NaN 0
AMPDA NaN 0
AMPTASECG NaN 0
AMPTASECGe NaN 0
AMY1e NaN 0
AMY2e NaN 0
AOBUTDsm NaN 0
AP4AH1 0.080119385 0.838099855
APAT2rm_f NaN 0
APOCF NaN 0
APOCFm NaN 0
APOC_LYS_BTNP NaN 0
APOC_LYS_BTNPm NaN 0
APRTO2 -1.050151745 0.355519557
ARABR 0.816104016 0.135106772
ARACHCPT1 -0.814654505 0.046882112
ARACHCPT2 NaN 0
ARGDCm NaN 0
ARGN 1.223905113 0.054134409
ARGNm 1.223905113 0.054134409
ARGSL_f NaN 0
ARGSS NaN 0
ARSA NaN 0
ARTCOAL3 NaN 0
R_group_phosphotase_3 NaN 0
ARTFR207 NaN 0
ARTFR31 NaN 0
ARTFR51 NaN 0
ARTPLM3_f NaN 0
ARTPLM3m_f NaN 0
ASAH1 NaN 0
ASCBOX NaN 0
ASNNm NaN 0
ASNS1 1.452526448 0.001942574
ASP1DC 3.46608144 0.038838792
ASPCTr_f 0.159250963 0.728852243
ASPNATm NaN 0
ASPTA_f 1.268792998 0.000473057
ASPTAm_f 1.710427512 0.000703894
ATPH1e 2.421377854 0.03992455
ATPH2e 2.421377854 0.03992455
B_MANNASEly -0.171308371 0.592100457
B3GALT3g NaN 0
B3GALT41g NaN 0
B3GALT42g NaN 0
B3GALT43g NaN 0
B3GALT44g NaN 0
B3GALT5g NaN 0
B3GALTg NaN 0
B3GNT11g NaN 0
B3GNT12g NaN 0
B3GNT310g NaN 0
B3GNT311g NaN 0
B3GNT312g NaN 0
B3GNT313g NaN 0
B3GNT314g NaN 0
B3GNT315g NaN 0
B3GNT31g NaN 0
B3GNT32g NaN 0
B3GNT33g NaN 0
B3GNT34g NaN 0
B3GNT35g NaN 0
B3GNT36g NaN 0
B3GNT37g NaN 0
B3GNT39g NaN 0
B3GNT51g NaN 0
BAAT1x NaN 0
BAAT2x NaN 0
BAAT4x NaN 0
BACCL 0.480607112 0.151981209
BACCLm 0.480607112 0.151981209
BAMPPALDOX NaN 0
BAMPPALDOXm NaN 0
BBHOX NaN 0
BCDO NaN 0
BDG2HCGHD NaN 0
BDHm_f NaN 0
BDMT_U NaN 0
BETALDHxm NaN 0
BHMT NaN 0
BILIRED 0.546647062 0.194148945
BMTer_U NaN 0
BPNT NaN 0
BPNT2 NaN 0
BTND1 NaN 0
BTND1n NaN 0
BTNDe NaN 0
BTNDm NaN 0
BTNPL 0.480607112 0.151981209
BTNPLm 0.480607112 0.151981209
BUP2 -1.100871572 0.050890327
C14STRr -1.142929254 0.07548956
C160CPT1 -0.814654505 0.046882112
C160CPT2 NaN 0
C161CPT1 -0.814654505 0.046882112
C161CPT12 -0.814654505 0.046882112
C161CPT2 NaN 0
C161CPT22 NaN 0
C180CPT1 -0.814654505 0.046882112
C180CPT2 NaN 0
C181CPT1 -0.814654505 0.046882112
C181CPT2 NaN 0
C204CPT1 -0.814654505 0.046882112
C204CPT2 NaN 0
C226CPT1 -0.814654505 0.046882112
C226CPT2 NaN 0
C2M26DCOAHLm_f -1.008254133 0.006423783
C2M26DCOAHLx_f 0.314387392 0.411942172
C3STDH1Pr 0.660199902 0.02684048
C3STDH1r 0.660199902 0.02684048
C3STKR2r -0.522296027 0.110571098
C4STMO1r 1.416958745 0.001757096
C4STMO2Pr 0.660199902 0.02684048
C4STMO2r 1.416958745 0.001757096
CAT2p NaN 0
CATm NaN 0
CATp NaN 0
CBL2OR NaN 0
CBLATm_f -0.098669692 0.769734135
CBPPer 1.460004641 0.002322584
CBPS 0.159250963 0.728852243
CBPSam 0.233193433 0.828585716
CBR1 NaN 0
CBR2 NaN 0
CDIPTr_f 0.737250287 0.040283886
CDS -0.41647182 0.237542319
CDSm -0.41647182 0.237542319
CEPTC 0.7855107 0.204278019
CEPTE NaN 0
CERK -0.823581586 0.036430545
CH25H NaN 0
CHAT_f NaN 0
CHATn_f NaN 0
CHLP -3.311972235 0.001450492
CHLPCTD -0.522884903 0.065334735
CHOLD2m 1.297935903 0.204953762
CHOLK 1.288230794 0.021584179
CHSTEROLSULT 3.418340738 0.017079254
CHTNASE NaN 0
CHTNASEe NaN 0
CITL NaN 0
CITMCOAHm_f NaN 0
CITMCOALm NaN 0
CK_f NaN 0
CKc_f -3.590963897 0.061135867
CLPNDCPT1 -0.814654505 0.046882112
CLPNDCPT2 NaN 0
CLS_hs -0.725319973 0.106059096
CMPSAS 0.793267339 0.018979555
CMPSASn 0.793267339 0.018979555
COKECBESr NaN 0
COQ3m NaN 0
COQ5m NaN 0
COQ6m 0.787971879 0.061971579
COQ7m NaN 0
CORE2GTg 5.091807761 0.008152632
CORE3GTg NaN 0
CORE4GTg 5.091807761 0.008152632
CORE5GTg NaN 0
CORE6GTg NaN 0
CORE7GTg NaN 0
CORE8GTg NaN 0
COUCOAFm NaN 0
CPCTDTX -0.522884903 0.065334735
CPPPGO -0.481346062 0.247666255
CRTNsyn NaN 0
CSAPASEly NaN 0
CSBPASEly NaN 0
CSCPASEly NaN 0
CSDPASEly NaN 0
CSEPASEly NaN 0
CSm -1.148585808 0.031194437
CSNAT2m_f -0.67092959 0.336512328
CSNAT2x_f 0.099532522 0.880731137
CSNAT3x_f -0.67092959 0.336512328
CSNATer_f -0.67092959 0.336512328
CSNATm_f -0.67092959 0.336512328
CSNATp_f -0.67092959 0.336512328
CSNATr_f -0.67092959 0.336512328
CSND NaN 0
CTPS1 1.774816487 0.007069669
CTPS2 1.774816487 0.007069669
CYSGLTH_f NaN 0
CYSLYSL NaN 0
CYSO NaN 0
CYSTA_f 1.268792998 0.000473057
CYSTAm_f 1.710427512 0.000703894
CYSTGL -0.885708692 0.091547358
CYSTS NaN 0
CYTD NaN 0
CYTDK1 1.466717263 0.01995473
CYTDK2m NaN 0
CYTDn NaN 0
CYTK1_f NaN 0
CYTK10_f NaN 0
CYTK10n_f NaN 0
CYTK11_f NaN 0
CYTK11n_f NaN 0
CYTK12_f NaN 0
CYTK12n_f NaN 0
CYTK13_f NaN 0
CYTK13n_f NaN 0
CYTK14_f NaN 0
CYTK14n_f NaN 0
CYTK1m_f NaN 0
CYTK1n_f NaN 0
CYTK2_f NaN 0
CYTK2n_f NaN 0
CYTK3_f NaN 0
CYTK3n_f NaN 0
CYTK4_f NaN 0
CYTK4n_f NaN 0
CYTK5_f NaN 0
CYTK5n_f NaN 0
CYTK6_f NaN 0
CYTK6n_f NaN 0
CYTK7_f NaN 0
CYTK7n_f NaN 0
CYTK8_f NaN 0
CYTK8n_f NaN 0
CYTK9_f NaN 0
CYTK9n_f NaN 0
D3AIBTm_f NaN 0
DADA NaN 0
DADAe NaN 0
DADNK NaN 0
DAGK_hs_f 0.382762997 0.677725824
DAGKn_hs_f NaN 0
DALAOXx NaN 0
DARGOp NaN 0
DASCBH NaN 0
DASCBR 1.246063334 0.021001145
DASPO1p NaN 0
DCIm_f NaN 0
DCK1m_f NaN 0
DCK1n_f NaN 0
DCK2n_f NaN 0
DCMPDA -0.14245465 0.584531352
DCSPTN1CPT1 -0.814654505 0.046882112
DCSPTN1CPT2 NaN 0
DCT -3.695569605 0.004053269
DCYTD NaN 0
DCYTDn NaN 0
DDPGAm_f NaN 0
DEDOLP1_U NaN 0
DEDOLP2_U NaN 0
DEDOLR_U NaN 0
DESAT16_2 -2.302270896 0.08800234
DESAT18_10 2.722411951 0.000152062
DESAT18_3 -2.302270896 0.08800234
DESAT18_4 -2.302270896 0.08800234
DESAT18_5 -2.302270896 0.08800234
DESAT18_6 2.722411951 0.000152062
DESAT18_7 2.722411951 0.000152062
DESAT18_8 2.722411951 0.000152062
DESAT18_9 2.722411951 0.000152062
DESAT20_1 0.65681267 0.186074971
DESAT20_2 0.65681267 0.186074971
DESAT22_1p NaN 0
DESAT22_2p NaN 0
DESAT24_1 2.722411951 0.000152062
DGAT -4.559951722 0.00063867
DGK1_f 1.255614527 0.010133597
DGK2m_f NaN 0
DGNSKm 1.097601603 0.013687967
DGULND_f NaN 0
DHAPA 0.435807798 0.224918731
DHAPAx 0.435807798 0.224918731
DHCR241r 1.983171863 0.000886055
DHCR242r 1.983171863 0.000886055
DHCR243r 1.983171863 0.000886055
DHCR71r NaN 0
DHCR72r NaN 0
DHCRD1 NaN 0
DHCRD2 NaN 0
DHDPBMTm NaN 0
DHEASULT NaN 0
DHFR_f NaN 0
DHORTS_f 0.159250963 0.728852243
DHPM1 -2.824771475 8.01e-05
DHPM2 NaN 0
DHPR 0.618344179 0.304790334
DHPR2 NaN 0
DKMPPD NaN 0
DLNLCGCPT1 -0.814654505 0.046882112
DLNLCGCPT2 NaN 0
DM_atp_c_ NaN 0
DMATT 1.111569467 0.013701114
DMATTx 0.765674529 0.011382103
DMGDHm -4.139473733 0.000147519
DMHPTCRNCPT1_f NaN 0
DMHPTCRNCPT2_f NaN 0
DMNONCOACRNCPT1_f NaN 0
DMNONCRNCPT2_f NaN 0
DNAMTn 1.664061903 0.012680237
DNAMTSEn 1.664061903 0.012680237
DOGULND1 NaN 0
DOGULND2 NaN 0
DOGULNO1 NaN 0
DOGULNO2 NaN 0
DOLASNT_Uer NaN 0
DOLDPP_Uer NaN 0
DOLGPP_Uer NaN 0
DOLK_U NaN 0
DOLPGT1_Ler NaN 0
DOLPGT1_Uer NaN 0
DOLPGT2_Ler NaN 0
DOLPGT2_Uer NaN 0
DOLPGT3_Ler NaN 0
DOLPGT3_Uer NaN 0
DOLPH_Uer NaN 0
DOLPMT_U NaN 0
DOLPMT1_Uer NaN 0
DOLPMT2_Uer NaN 0
DOLPMT3_Uer NaN 0
DOLPMT4_Uer NaN 0
DOPABMO 3.590016243 0.010166525
DOPACHRMISO NaN 0
DOPAMT 0.912225302 0.046261261
DOPAQNISO1 NaN 0
DOPASULT 0.302526769 0.751695835
DORNOp NaN 0
DPCOAK 1.492408435 0.00046978
DPGase -0.289826356 0.357826239
DPGM -0.289826356 0.357826239
DPHMBDCm NaN 0
DPMVDx 1.299748609 0.017939094
DPPS NaN 0
DPROOp NaN 0
DRBK 1.676998487 0.002319756
DRPA 0.053209215 0.87451314
DSAT NaN 0
DTMPK NaN 0
DURAD_f NaN 0
DURAD2_f NaN 0
DURIK1 4.220204876 0.000330614
DURIK1m -1.901883462 0.000816096
DURIPP_f 0.415870743 0.3775786
DUTPDPm 1.200554989 0.004748263
DUTPDPn -0.039521695 0.877398242
EBP1r NaN 0
EBP2r NaN 0
ECGISOr_f NaN 0
ECOAH12m_f -0.52877746 0.319915939
ECOAH1m_f -0.52877746 0.319915939
ECOAH1x_f 0.314387392 0.411942172
ECOAH9m_f -0.52877746 0.319915939
EGMESTr NaN 0
EHGLAT 1.268792998 0.000473057
EHGLAT2m 1.710427512 0.000703894
EHGLATm 1.710427512 0.000703894
EICOSTETCPT1 -0.814654505 0.046882112
EICOSTETCPT2 NaN 0
ELAIDCPT1 -0.814654505 0.046882112
ELAIDCPT2 NaN 0
ENGASE NaN 0
ENGASE2 NaN 0
ENGASE2ly NaN 0
ENGASE3ly NaN 0
ENGASEly NaN 0
ENMAN1g NaN 0
ENMAN2g NaN 0
ENMAN3g NaN 0
ENMAN4g NaN 0
ENMAN5g NaN 0
ENMAN6g NaN 0
ENO_f 3.303433666 0.001926652
EPCTX 1.314873022 0.054349997
ESTSULT -0.940505228 0.114937671
ETF -1.746114724 0.001276758
ETFQO NaN 0
ETHAK 2.400079355 0.005497648
ETHP -3.311972235 0.001450492
ETOHMO 0.270019701 0.686516142
F1PGT_f 5.265422665 0.019031656
F6Tg 0.850502165 0.080385939
FA120ACPH_f -1.73368935 0.143627101
FA140ACPH_f -1.73368935 0.143627101
FA141ACPH_f -1.73368935 0.143627101
FA160ACPH_f -1.73368935 0.143627101
FA161ACPH_f -1.73368935 0.143627101
FA180ACPH_f -1.73368935 0.143627101
FA181ACPH_f -1.73368935 0.143627101
FA1821ACPH_f NaN 0
FA1822ACPH_f NaN 0
FA182ACPH_f -1.73368935 0.143627101
FACOAL140i NaN 0
FACOAL150_f NaN 0
FACOAL160i NaN 0
FACOAL161 NaN 0
FACOAL170_f NaN 0
FACOAL180i NaN 0
FACOAL1812_f NaN 0
FACOAL1813_f NaN 0
FACOAL181i NaN 0
FACOAL1821_f NaN 0
FACOAL1822_f NaN 0
FACOAL1831_f NaN 0
FACOAL1832_f NaN 0
FACOAL184_f NaN 0
FACOAL191 0.229716005 0.824115339
FACOAL200 NaN 0
FACOAL203_f NaN 0
FACOAL204 NaN 0
FACOAL2042_f NaN 0
FACOAL205_f NaN 0
FACOAL206_f 0.229716005 0.824115339
FACOAL224_f NaN 0
FACOAL2251_f NaN 0
FACOAL2252_f NaN 0
FACOAL226_f NaN 0
FACOAL240 NaN 0
FACOAL241 NaN 0
FACOAL244_1_f NaN 0
FACOAL245_1_f NaN 0
FACOAL245_2_f NaN 0
FACOAL246_1_f NaN 0
FACOAL260_f NaN 0
FACOAL40im NaN 0
FACOAL80i NaN 0
FADDP NaN 0
FAEL183 0.602210863 0.435400404
FAEL184 0.602210863 0.435400404
FAEL204 0.602210863 0.435400404
FAEL205 0.602210863 0.435400404
FAH1 0.343418716 0.322332025
FAH2 NaN 0
FAH3 NaN 0
FALDH_f NaN 0
FAOXC180 NaN 0
FAOXC180x -0.522296027 0.110571098
FAOXC1811601m NaN 0
FAOXC182806m NaN 0
FAOXC183806m NaN 0
FAOXC183806x -0.522296027 0.110571098
FAOXC200180m -1.008254133 0.006423783
FAOXC200180x -0.522296027 0.110571098
FAOXC2031836m -1.008254133 0.006423783
FAOXC2051843m NaN 0
FAOXC2051843x -0.522296027 0.110571098
FAOXC2242046m -1.008254133 0.006423783
FAOXC2242046x -0.522296027 0.110571098
FAOXC2251836m NaN 0
FAOXC2251836x -0.522296027 0.110571098
FAOXC2252053m NaN 0
FAOXC2252053x -0.522296027 0.110571098
FAOXC226205m -1.008254133 0.006423783
FAOXC226205x -0.522296027 0.110571098
FAOXC2442246x -0.522296027 0.110571098
FAOXC2452253x -0.522296027 0.110571098
FAOXC2452256x -0.522296027 0.110571098
FAOXC246226x -0.522296027 0.110571098
FAOXC260240x -0.522296027 0.110571098
FAS100COA 0.602210863 0.435400404
FAS120COA 0.602210863 0.435400404
FAS140COA 0.602210863 0.435400404
FAS160COA 0.602210863 0.435400404
FAS180COA 0.602210863 0.435400404
FAS80COA_L NaN 0
FBA_f NaN 0
FBA2_f NaN 0
FBA4_f NaN 0
FBA5_f NaN 0
FBP 0.567318012 0.607403054
FBP26 2.350772033 0.002607045
FCLTm -0.378513229 0.275434695
FCOAH NaN 0
FDH NaN 0
FE3R2e -1.572946637 0.072352943
FK 1.252545199 0.004148867
FKYNH NaN 0
FMNAT 1.979141965 0.003336361
FOLR2 NaN 0
FPGS -0.16294389 0.64031772
FPGS2 -0.16294389 0.64031772
FPGS2m -0.16294389 0.64031772
FPGS3 -0.16294389 0.64031772
FPGS3m -0.16294389 0.64031772
FPGS4 -0.16294389 0.64031772
FPGS4m -0.16294389 0.64031772
FPGS5 -0.16294389 0.64031772
FPGS5m -0.16294389 0.64031772
FPGS6 -0.16294389 0.64031772
FPGS6m -0.16294389 0.64031772
FPGS7 -0.16294389 0.64031772
FPGS7m -0.16294389 0.64031772
FPGS8 -0.16294389 0.64031772
FPGS8m -0.16294389 0.64031772
FPGS9 -0.16294389 0.64031772
FPGS9m -0.16294389 0.64031772
FPGSm -0.16294389 0.64031772
FRTT 1.111569467 0.013701114
FT NaN 0
FTCD 1.882773793 0.03598929
FTHFCL 0.786220863 0.212623457
FTHFDH NaN 0
FTHFL -1.087301525 0.01775921
FTHFLm -0.573232362 0.315940417
FUCASE2e -0.075380131 0.808097254
FUCASE2ly NaN 0
FUCASEe -0.075380131 0.808097254
FUCASEly NaN 0
FUM_f 0.71773127 0.092673519
FUMAC -1.328560045 0.022731923
FUMm_f 0.71773127 0.092673519
FUT11g NaN 0
FUT12g NaN 0
FUT14g NaN 0
FUT15g NaN 0
FUT16g NaN 0
FUT17g NaN 0
FUT18g NaN 0
FUT31g NaN 0
FUT32g NaN 0
FUT33g NaN 0
FUT34g NaN 0
FUT35g NaN 0
FUT910g NaN 0
FUT911g NaN 0
FUT91g NaN 0
FUT92g NaN 0
FUT93g NaN 0
FUT94g NaN 0
FUT95g NaN 0
FUT96g NaN 0
FUT97g NaN 0
FUT98g NaN 0
FUT99g NaN 0
G12MT1_U NaN 0
G12MT2_U NaN 0
G13MT_U NaN 0
G14T10g 1.642238776 0.043876868
G14T11g 1.642238776 0.043876868
G14T12g 1.642238776 0.043876868
G14T13g 1.642238776 0.043876868
G14T14g 1.642238776 0.043876868
G14T15g 1.642238776 0.043876868
G14T16g 1.642238776 0.043876868
G14T17g 1.642238776 0.043876868
G14T18g 1.642238776 0.043876868
G14T19g 1.642238776 0.043876868
G14T20g 1.642238776 0.043876868
G14T21g 1.642238776 0.043876868
G14T2g 1.642238776 0.043876868
G14T3g 1.642238776 0.043876868
G14T4g 1.642238776 0.043876868
G14T5g 1.642238776 0.043876868
G14T6g 1.642238776 0.043876868
G14T7g 1.642238776 0.043876868
G14T8g 1.642238776 0.043876868
G14T9g 1.642238776 0.043876868
G14Tg 1.642238776 0.043876868
G16MT_U NaN 0
G1PTT NaN 0
G3PD1_f -9.318608831 4.39e-05
G5SADrm NaN 0
G5SDym 1.145875965 0.001930515
G6PDA -0.007442696 0.983831924
G6PDH1rer_f -1.92942439 2.74e-05
G6PDH2r_f 0.479218008 0.184916006
G6PDH2rer_f 0.479218008 0.184916006
G6PPer 1.460004641 0.002322584
GACMTRc_f 2.562233396 0.00217603
GAL3ST11 0.084685666 0.927558134
GAL3ST12 0.084685666 0.927558134
GALASE10ly 0.280116472 0.533986645
GALASE11ly 0.280116472 0.533986645
GALASE12ly 0.280116472 0.533986645
GALASE13ly 0.280116472 0.533986645
GALASE14ly 0.280116472 0.533986645
GALASE15ly 0.280116472 0.533986645
GALASE16ly 0.280116472 0.533986645
GALASE17ly 0.280116472 0.533986645
GALASE18ly 0.280116472 0.533986645
GALASE19ly 0.280116472 0.533986645
GALASE1ly 0.280116472 0.533986645
GALASE20ly 0.280116472 0.533986645
GALASE3ly 0.280116472 0.533986645
GALASE4ly 0.280116472 0.533986645
GALASE5ly 0.280116472 0.533986645
GALASE6ly 0.280116472 0.533986645
GALASE7ly 0.280116472 0.533986645
GALASE8ly 0.280116472 0.533986645
GALASE9ly 0.280116472 0.533986645
GALC -0.389931133 0.47859797
GALGT1 NaN 0
GALGT2 NaN 0
GALGT3 NaN 0
GALGT4 NaN 0
GALK 1.203792657 0.047780413
GALNACT1g NaN 0
GALNACT2g 2.457935233 0.004787001
GALNACT3g 2.457935233 0.004787001
GALNACT4g 2.457935233 0.004787001
GALNACT5g 2.457935233 0.004787001
GALNTg 3.95964731 0.000448099
GALOR_f NaN 0
GALT_f NaN 0
GALT2g NaN 0
GALTg 0.802004092 0.014857945
GALU_f -1.977350798 0.000101092
GAMYe 1.744223067 0.293806253
GAO1 0.696243854 0.011713851
GAO1g 0.696243854 0.011713851
GAO2 0.696243854 0.011713851
GAO2g 0.696243854 0.011713851
GAPD_f 2.06277252 0.000732496
GARFT_f 0.11774042 0.643232205
GASNASE2ly 0.872946786 0.040833845
GASNASE3ly 0.872946786 0.040833845
GASNASEly 0.872946786 0.040833845
GBA NaN 0
GBAl NaN 0
GBGT1 -0.181849055 0.771969978
GCALDD -0.5001358 0.365753103
GCALDDm 1.145875965 0.001930515
GCC2am_f -1.103968112 0.01537326
GCC2bim -1.103968112 0.01537326
GCC2cm_f -1.103968112 0.01537326
GCCam_f -1.103968112 0.01537326
GCCbim -1.103968112 0.01537326
GCCcm_f -1.103968112 0.01537326
GCNTg 1.104884346 0.201035595
GF6PTA -3.484911285 1.22e-06
GFUCS 2.463411678 0.000313787
GGH_10FTHF5GLUe 0.744301313 0.337620772
GGH_10FTHF5GLUl 0.744301313 0.337620772
GGH_10FTHF6GLUe 0.744301313 0.337620772
GGH_10FTHF6GLUl 0.744301313 0.337620772
GGH_10FTHF7GLUe 0.744301313 0.337620772
GGH_10FTHF7GLUl 0.744301313 0.337620772
GGH_5DHFe 0.744301313 0.337620772
GGH_5DHFl 0.744301313 0.337620772
GGH_5THFe 0.744301313 0.337620772
GGH_5THFl 0.744301313 0.337620772
GGH_6DHFe 0.744301313 0.337620772
GGH_6DHFl 0.744301313 0.337620772
GGH_6THFe 0.744301313 0.337620772
GGH_6THFl 0.744301313 0.337620772
GGH_7DHFe 0.744301313 0.337620772
GGH_7DHFl 0.744301313 0.337620772
GGH_7THFe 0.744301313 0.337620772
GGH_7THFl 0.744301313 0.337620772
GGNG -0.162746846 0.727359706
GGT_U NaN 0
GGT5r_f -1.065680069 0.059693925
GGT6_f NaN 0
GHMT2r_f -1.883285236 0.000444118
GHMT2rm_f 0.98155279 0.00145872
