Metabolite ID	Standard Gibbs energy of formation (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed Gibbs energy of formation (kJ/mol)	Minimum transformed Gibbs energy of formation (kJ/mol)	Maximum transformed Gibbs energy of formation (kJ/mol)	Minimum concentration (M)	Maximum concentration (M)
3mlda[c]	0.00	100000.00	304.02	-195725.66	196292.15	1.00e-05	1.00e-02
3mlda[e]	0.00	100000.00	312.49	-195717.20	196300.61	1.00e-05	1.00e-02
3mob[c]	0.00	100000.00	304.45	-195725.24	196292.57	1.00e-05	1.00e-02
3mob[m]	0.00	100000.00	337.70	-195691.99	196325.82	1.00e-05	1.00e-02
3mop[c]	0.00	100000.00	391.43	-195638.26	196379.56	1.00e-05	1.00e-02
3mop[m]	0.00	100000.00	434.18	-195595.50	196422.31	1.00e-05	1.00e-02
3m4hpga[c]	0.00	100000.00	434.92	-195594.77	196423.04	1.00e-05	1.00e-02
3mox4hoxm[c]	0.00	100000.00	391.42	-195638.27	196379.55	1.00e-05	1.00e-02
3moxtyr[c]	0.00	100000.00	608.88	-195420.81	196597.00	1.00e-05	1.00e-02
h2o[l]	-237.23	1.56	-170.43	-173.49	-167.37	1.00e+00	1.00e+00
pi[l]	-1094.48	1.46	-1069.78	-1102.33	-1078.80	1.00e-05	1.00e-02
adn[l]	-192.36	2.45	241.75	207.25	234.68	1.00e-05	1.00e-02
3sala[m]	0.00	100000.00	240.87	-195788.82	196228.99	1.00e-05	1.00e-02
3sala[c]	0.00	100000.00	217.40	-195812.28	196205.53	1.00e-05	1.00e-02
asp_L[c]	0.00	100000.00	260.92	-195768.77	196249.04	1.00e-05	1.00e-02
asp_L[m]	0.00	100000.00	289.34	-195740.35	196277.47	1.00e-05	1.00e-02
hyptaur[c]	0.00	100000.00	304.43	-195725.26	196292.56	1.00e-05	1.00e-02
3snpyr[c]	0.00	100000.00	86.98	-195942.70	196075.11	1.00e-05	1.00e-02
3snpyr[m]	0.00	100000.00	96.49	-195933.20	196084.61	1.00e-05	1.00e-02
so3[c]	-486.32	4.86	-488.59	-527.81	-490.93	1.00e-05	1.00e-02
pyr[m]	0.00	100000.00	144.73	-195884.96	196132.85	1.00e-05	1.00e-02
so3[m]	-486.32	4.86	-492.23	-531.45	-494.57	1.00e-05	1.00e-02
adrnl[c]	0.00	100000.00	608.81	-195420.88	196596.93	1.00e-05	1.00e-02
mma[c]	0.00	100000.00	260.95	-195768.74	196249.07	1.00e-05	1.00e-02
nrpphr[c]	0.00	100000.00	521.81	-195507.88	196509.93	1.00e-05	1.00e-02
4abut[c]	47.44	70710.68	438.86	-138183.76	139019.91	1.00e-05	1.00e-02
4abut[m]	47.44	70710.68	481.59	-138141.03	139062.64	1.00e-05	1.00e-02
coucoa[m]	0.00	100000.00	1833.03	-194196.66	197821.15	1.00e-05	1.00e-02
4hbzcoa[m]	0.00	100000.00	1735.82	-194293.87	197723.94	1.00e-05	1.00e-02
accoa[m]	0.00	100000.00	1640.22	-194389.47	197628.34	1.00e-05	1.00e-02
4hbz[m]	0.00	100000.00	241.12	-195788.57	196229.24	1.00e-05	1.00e-02
4hdebrisoquine[e]	0.00	100000.00	625.52	-195404.17	196613.64	1.00e-05	1.00e-02
4hdebrisoquine[c]	0.00	100000.00	608.89	-195420.79	196597.02	1.00e-05	1.00e-02
4hglusa[m]	0.00	100000.00	433.46	-195596.23	196421.59	1.00e-05	1.00e-02
e4hglu[m]	0.00	100000.00	385.64	-195644.05	196373.77	1.00e-05	1.00e-02
4hoxpacd[c]	0.00	100000.00	347.92	-195681.77	196336.04	1.00e-05	1.00e-02
4hphac[c]	0.00	100000.00	304.42	-195725.27	196292.55	1.00e-05	1.00e-02
4mop[c]	0.00	100000.00	391.43	-195638.26	196379.56	1.00e-05	1.00e-02
4mop[m]	0.00	100000.00	434.18	-195595.50	196422.31	1.00e-05	1.00e-02
4mptnl[c]	0.00	100000.00	521.91	-195507.78	196510.03	1.00e-05	1.00e-02
4mptnl[e]	0.00	100000.00	536.16	-195493.53	196524.28	1.00e-05	1.00e-02
4mptnl[m]	0.00	100000.00	578.91	-195450.78	196567.04	1.00e-05	1.00e-02
4mtolbutamide[e]	0.00	100000.00	804.23	-195225.46	196792.35	1.00e-05	1.00e-02
4mtolbutamide[c]	0.00	100000.00	782.86	-195246.83	196770.98	1.00e-05	1.00e-02
4nphsf[e]	0.00	100000.00	178.72	-195850.97	196166.84	1.00e-05	1.00e-02
4nphsf[c]	0.00	100000.00	173.97	-195855.72	196162.09	1.00e-05	1.00e-02
4nph[c]	0.00	100000.00	214.18	-195815.51	196202.31	1.00e-05	1.00e-02
4nph[e]	0.00	100000.00	219.21	-195810.47	196207.34	1.00e-05	1.00e-02
4pyrdx[c]	0.00	100000.00	391.43	-195638.26	196379.55	1.00e-05	1.00e-02
4pyrdx[e]	0.00	100000.00	402.12	-195627.57	196390.24	1.00e-05	1.00e-02
5adtststeroneglc[c]	0.00	100000.00	1652.71	-194376.98	197640.84	1.00e-05	1.00e-02
5adtststeroneglc[e]	0.00	100000.00	1697.84	-194331.85	197685.96	1.00e-05	1.00e-02
5adtststeroneglc[r]	0.00	100000.00	1652.71	-194376.98	197640.84	1.00e-05	1.00e-02
5adtststerones[c]	0.00	100000.00	1261.28	-194768.41	197249.41	1.00e-05	1.00e-02
5adtststerones[e]	0.00	100000.00	1295.72	-194733.97	197283.84	1.00e-05	1.00e-02
5adtststerone[c]	0.00	100000.00	1304.77	-194724.91	197292.90	1.00e-05	1.00e-02
5adtststerone[e]	0.00	100000.00	1340.40	-194689.29	197328.52	1.00e-05	1.00e-02
5adtststerone[r]	0.00	100000.00	1304.77	-194724.91	197292.90	1.00e-05	1.00e-02
5aop[c]	0.00	100000.00	390.55	-195639.14	196378.68	1.00e-05	1.00e-02
5aop[m]	0.00	100000.00	430.90	-195598.78	196419.03	1.00e-05	1.00e-02
5dhf[c]	0.00	100000.00	2044.04	-193985.65	198032.16	1.00e-05	1.00e-02
5dhf[l]	0.00	100000.00	1565.08	-194464.61	197553.20	1.00e-05	1.00e-02
h2o[e]	-237.23	1.56	-147.87	-150.93	-144.81	1.00e+00	1.00e+00
5fthf[e]	0.00	100000.00	937.65	-195092.04	196925.78	1.00e-05	1.00e-02
5fthf[c]	0.00	100000.00	912.41	-195117.28	196900.53	1.00e-05	1.00e-02
5htrp[c]	0.00	100000.00	521.86	-195507.83	196509.99	1.00e-05	1.00e-02
srtn[c]	0.00	100000.00	565.37	-195464.32	196553.49	1.00e-05	1.00e-02
5homeprazole[e]	0.00	100000.00	848.86	-195180.83	196836.99	1.00e-05	1.00e-02
5homeprazole[c]	0.00	100000.00	826.32	-195203.37	196814.44	1.00e-05	1.00e-02
5hoxindact[c]	0.00	100000.00	391.41	-195638.28	196379.54	1.00e-05	1.00e-02
5hoxindoa[c]	0.00	100000.00	347.92	-195681.77	196336.04	1.00e-05	1.00e-02
5htrp[e]	0.00	100000.00	536.08	-195493.60	196524.21	1.00e-05	1.00e-02
5mthf[e]	-104.54	41286.14	1010.97	-79939.55	81919.94	1.00e-05	1.00e-02
5mthf[c]	-104.54	41286.14	981.70	-79968.82	81890.67	1.00e-05	1.00e-02
5thf[c]	0.00	100000.00	1956.98	-194072.71	197945.10	1.00e-05	1.00e-02
5thf[l]	0.00	100000.00	1502.73	-194526.96	197490.85	1.00e-05	1.00e-02
5thf[m]	0.00	100000.00	2169.84	-193859.85	198157.96	1.00e-05	1.00e-02
6dhf[c]	0.00	100000.00	2129.13	-193900.55	198117.26	1.00e-05	1.00e-02
6dhf[l]	0.00	100000.00	1636.31	-194393.38	197624.43	1.00e-05	1.00e-02
6dhf[m]	0.00	100000.00	2357.56	-193672.12	198345.69	1.00e-05	1.00e-02
6htststerone[c]	0.00	100000.00	1217.79	-194811.90	197205.91	1.00e-05	1.00e-02
6htststerone[e]	0.00	100000.00	1251.04	-194778.65	197239.16	1.00e-05	1.00e-02
6htststerone[r]	0.00	100000.00	1217.79	-194811.90	197205.91	1.00e-05	1.00e-02
6thf[c]	0.00	100000.00	2216.12	-193813.57	198204.24	1.00e-05	1.00e-02
6thf[l]	0.00	100000.00	1703.11	-194326.58	197691.23	1.00e-05	1.00e-02
6thf[m]	0.00	100000.00	2454.05	-193575.64	198442.17	1.00e-05	1.00e-02
7dhchsterol[r]	0.00	100000.00	1913.67	-194116.02	197901.79	1.00e-05	1.00e-02
7dhchsterol[c]	0.00	100000.00	1913.67	-194116.02	197901.79	1.00e-05	1.00e-02
7dhf[c]	0.00	100000.00	2391.96	-193637.73	198380.08	1.00e-05	1.00e-02
7dhf[l]	0.00	100000.00	1836.74	-194192.95	197824.86	1.00e-05	1.00e-02
7dhf[m]	0.00	100000.00	2652.65	-193377.04	198640.78	1.00e-05	1.00e-02
7thf[c]	0.00	100000.00	2478.11	-193551.58	198466.24	1.00e-05	1.00e-02
7thf[l]	0.00	100000.00	1902.86	-194126.82	197890.99	1.00e-05	1.00e-02
7thf[m]	0.00	100000.00	2747.97	-193281.72	198736.09	1.00e-05	1.00e-02
man[c]	-912.39	1.86	-390.48	-423.81	-398.71	1.00e-05	1.00e-02
m2mn[l]	0.00	100000.00	1501.07	-194528.62	197489.20	1.00e-05	1.00e-02
man[l]	-912.39	1.86	-511.61	-544.94	-519.84	1.00e-05	1.00e-02
mn[l]	0.00	100000.00	833.11	-195196.58	196821.23	1.00e-05	1.00e-02
galgluside_hs[c]	0.00	100000.00	4044.70	-191984.99	200032.82	1.00e-05	1.00e-02
udpgal[c]	0.00	100000.00	955.43	-195074.26	196943.55	1.00e-05	1.00e-02
thcrm_hs[c]	0.00	100000.00	2870.50	-193159.19	198858.63	1.00e-05	1.00e-02
udp[c]	0.00	100000.00	474.77	-195554.92	196462.89	1.00e-05	1.00e-02
h[g]	-0.00	0.00	37.70	0.00	0.00	4.47e-07	4.47e-07
galgluside_hs[g]	0.00	100000.00	3574.76	-192454.93	199562.89	1.00e-05	1.00e-02
udpgal[g]	0.00	100000.00	845.55	-195184.14	196833.67	1.00e-05	1.00e-02
thcrm_hs[g]	0.00	100000.00	2537.39	-193492.30	198525.52	1.00e-05	1.00e-02
udp[g]	0.00	100000.00	422.27	-195612.49	196399.38	1.40e-06	1.40e-04
T_antigen[g]	0.00	100000.00	922.69	-195107.00	196910.81	1.00e-05	1.00e-02
uacgam[g]	0.00	100000.00	960.44	-195069.24	196948.57	1.00e-05	1.00e-02
gncore1[g]	0.00	100000.00	1422.48	-194607.21	197410.60	1.00e-05	1.00e-02
core2[g]	0.00	100000.00	1422.48	-194607.21	197410.60	1.00e-05	1.00e-02
gncore2[g]	0.00	100000.00	1922.27	-194107.42	197910.39	1.00e-05	1.00e-02
aact[c]	0.00	100000.00	347.06	-195682.63	196335.18	1.00e-05	1.00e-02
mthgxl[c]	1.47	79145.36	175.44	-154979.15	155288.47	1.00e-05	1.00e-02
aact[m]	0.00	100000.00	382.66	-195647.03	196370.79	1.00e-05	1.00e-02
L2aadp6sa[m]	0.00	100000.00	530.46	-195499.23	196518.59	1.00e-05	1.00e-02
fucgalacglcgalgluside_hs[g]	0.00	100000.00	3421.64	-192608.05	199409.76	1.00e-05	1.00e-02
udpacgal[g]	0.00	100000.00	960.44	-195069.24	196948.57	1.00e-05	1.00e-02
acgalfucgalacglcgalgluside_hs[g]	0.00	100000.00	3921.43	-192108.26	199909.55	1.00e-05	1.00e-02
galfucgalacglcgalgluside_hs[g]	0.00	100000.00	3806.09	-192223.60	199794.21	1.00e-05	1.00e-02
fuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	3421.64	-192608.05	199409.76	1.00e-05	1.00e-02
galfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	3806.09	-192223.60	199794.21	1.00e-05	1.00e-02
acgalfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	3921.43	-192108.26	199909.55	1.00e-05	1.00e-02
fucgalacgalfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	4690.33	-191339.36	200678.46	1.00e-05	1.00e-02
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	5190.12	-190839.57	201178.25	1.00e-05	1.00e-02
fucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	4305.88	-191723.81	200294.00	1.00e-05	1.00e-02
acgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	0.00	-196029.69	195988.12	1.00e-05	1.00e-02
fucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	0.00	-196029.69	195988.12	1.00e-05	1.00e-02
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	6074.36	-189955.32	202062.49	1.00e-05	1.00e-02
galfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	4690.33	-191339.36	200678.46	1.00e-05	1.00e-02
fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	5574.57	-190455.11	201562.70	1.00e-05	1.00e-02
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	6343.48	-189686.21	202331.61	1.00e-05	1.00e-02
sucsal[m]	0.00	100000.00	241.21	-195788.48	196229.34	1.00e-05	1.00e-02
abt[c]	0.00	100000.00	521.91	-195507.78	196510.03	1.00e-05	1.00e-02
xylu_L[c]	0.00	100000.00	434.92	-195594.77	196423.05	1.00e-05	1.00e-02
abt[e]	0.00	100000.00	536.16	-195493.53	196524.28	1.00e-05	1.00e-02
h[l]	-0.00	0.00	32.66	0.00	0.00	3.16e-06	3.16e-06
4abut[l]	47.44	70710.68	347.76	-138274.86	138928.81	1.00e-05	1.00e-02
4abut[e]	47.44	70710.68	449.54	-138173.07	139030.60	1.00e-05	1.00e-02
2maacoa[m]	0.00	100000.00	1833.19	-194196.50	197821.31	1.00e-05	1.00e-02
ppcoa[m]	0.00	100000.00	1736.67	-194293.02	197724.79	1.00e-05	1.00e-02
aacoa[m]	0.00	100000.00	1736.70	-194292.99	197724.83	1.00e-05	1.00e-02
coa[x]	0.00	100000.00	1353.32	-194676.37	197341.45	1.00e-05	1.00e-02
accoa[x]	0.00	100000.00	1438.01	-194591.67	197426.14	1.00e-05	1.00e-02
aacoa[x]	0.00	100000.00	1522.65	-194507.04	197510.77	1.00e-05	1.00e-02
acac[c]	0.00	100000.00	217.46	-195812.23	196205.59	1.00e-05	1.00e-02
acac[m]	0.00	100000.00	241.21	-195788.48	196229.34	1.00e-05	1.00e-02
3odcoa[x]	0.00	100000.00	2030.32	-193999.37	198018.45	1.00e-05	1.00e-02
occoa[x]	0.00	100000.00	1945.36	-194084.33	197933.48	1.00e-05	1.00e-02
3oddcoa[x]	0.00	100000.00	2199.54	-193830.15	198187.67	1.00e-05	1.00e-02
dcacoa[x]	0.00	100000.00	2114.57	-193915.11	198102.70	1.00e-05	1.00e-02
3otdcoa[x]	0.00	100000.00	2368.76	-193660.93	198356.89	1.00e-05	1.00e-02
ddcacoa[x]	0.00	100000.00	2283.79	-193745.89	198271.92	1.00e-05	1.00e-02
3ohdcoa[x]	0.00	100000.00	2537.98	-193491.71	198526.11	1.00e-05	1.00e-02
tdcoa[x]	0.00	100000.00	2453.01	-193576.67	198441.14	1.00e-05	1.00e-02
3ohodcoa[x]	0.00	100000.00	2707.20	-193322.49	198695.33	1.00e-05	1.00e-02
pmtcoa[x]	0.00	100000.00	2622.23	-193407.46	198610.36	1.00e-05	1.00e-02
3ohxccoa[x]	0.00	100000.00	3384.08	-192645.61	199372.20	1.00e-05	1.00e-02
