Metabolite ID	Standard Gibbs energy of formation (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed Gibbs energy of formation (kJ/mol)	Minimum transformed Gibbs energy of formation (kJ/mol)	Maximum transformed Gibbs energy of formation (kJ/mol)	Minimum concentration (M)	Maximum concentration (M)
adp[c]	-1039.99	100000.01	-519.96	-196561.53	195463.90	1.00e-07	1.90e-03
pi[c]	-1094.49	7.18	-1052.14	-1084.02	-1051.14	1.00e-03	6.30e-03
h[x]	-0.00	0.00	41.56	0.00	0.00	1.00e-07	1.00e-07
1pipdn2c[x]	-279.42	23.97	101.32	24.66	136.42	1.00e-05	1.00e-02
nadh[x]	-1794.01	115470.06	-651.78	-227002.79	225657.67	1.00e-05	1.00e-02
Lpipecol[x]	-307.01	23.92	158.34	81.77	193.35	1.00e-05	1.00e-02
nad[x]	-1811.31	115470.07	-711.95	-227062.96	225597.51	1.00e-05	1.00e-02
2425dhvitd2[c]	-571.85	106904.53	1341.82	-208220.75	210862.82	1.00e-05	1.00e-02
2425dhvitd2[e]	-571.85	106904.53	1394.07	-208168.49	210915.07	1.00e-05	1.00e-02
2425dhvitd3[c]	-643.27	106904.53	1270.39	-208292.16	210791.39	1.00e-05	1.00e-02
2425dhvitd3[e]	-643.27	106904.53	1322.65	-208239.91	210843.64	1.00e-05	1.00e-02
25hvitd2[m]	-402.84	106904.53	1719.84	-207842.72	211240.84	1.00e-05	1.00e-02
25hvitd3[m]	-479.75	106904.53	1642.93	-207919.63	211163.93	1.00e-05	1.00e-02
24nph[e]	-278.38	100000.00	-58.57	-196088.26	195929.56	1.00e-05	1.00e-02
24nph[c]	-278.38	100000.00	-63.67	-196093.36	195924.46	1.00e-05	1.00e-02
25hvitd2[c]	-402.84	106904.53	1510.83	-208051.73	211031.83	1.00e-05	1.00e-02
25hvitd2[e]	-402.84	106904.53	1563.08	-207999.48	211084.08	1.00e-05	1.00e-02
25hvitd3[c]	-479.75	106904.53	1433.92	-208128.64	210954.92	1.00e-05	1.00e-02
25hvitd3[e]	-479.75	106904.53	1486.17	-208076.39	211007.17	1.00e-05	1.00e-02
2amac[c]	-302.01	6.61	-84.71	-127.35	-83.62	1.00e-05	1.00e-02
pyr[c]	-495.24	25.26	-364.77	-443.97	-327.13	1.00e-05	1.00e-02
nadph[c]	-2636.90	115470.07	-1506.18	-227869.08	224794.81	1.00e-07	3.75e-04
nadp[c]	-2655.47	115470.07	-1568.62	-227931.52	224721.64	1.00e-07	5.83e-06
paps[c]	-858.51	141421.36	-380.22	-277595.78	276793.77	1.00e-05	1.00e-02
Lcyst[c]	-1140.97	70710.68	-880.13	-139502.76	137700.93	1.00e-05	1.00e-02
pap[c]	-1888.75	64.92	-1410.74	-1567.68	-1295.36	1.00e-05	1.00e-02
L2aadp[c]	-698.98	25.51	-264.08	-343.76	-225.96	1.00e-05	1.00e-02
L2aadp[m]	-698.98	25.51	-216.68	-296.36	-178.56	1.00e-05	1.00e-02
akg[m]	-826.49	49.97	-633.52	-761.16	-547.45	1.00e-05	1.00e-02
akg[c]	-826.49	49.97	-652.53	-780.16	-566.46	1.00e-05	1.00e-02
2dr1p[c]	-1406.55	33.08	-1015.52	-1110.04	-962.56	1.00e-05	1.00e-02
drib[c]	-557.79	8.69	-122.87	-169.60	-117.70	1.00e-05	1.00e-02
nadh[c]	-1794.01	115470.06	-619.72	-226976.87	225681.32	9.26e-07	3.83e-04
nad[c]	-1811.31	115470.07	-680.87	-227025.82	225621.92	1.05e-04	7.57e-04
2hb[c]	-519.25	24.33	-214.81	-292.19	-178.99	1.00e-05	1.00e-02
2obut[c]	-487.34	25.31	-269.88	-349.17	-232.15	1.00e-05	1.00e-02
h[e]	-0.00	0.00	43.94	0.00	0.00	3.98e-08	3.98e-08
2hb[e]	-519.25	24.33	-206.49	-283.87	-170.68	1.00e-05	1.00e-02
hco3[e]	-587.50	32.16	-542.94	-635.66	-491.78	1.00e-05	1.00e-02
hco3[c]	-587.50	32.16	-544.19	-636.91	-493.03	1.00e-05	1.00e-02
na1[e]	0.00	100000.00	-0.94	-196006.15	195994.26	1.33e-01	1.55e-01
na1[c]	0.00	100000.00	-1.05	-196042.61	195989.44	1.00e-07	2.50e-02
2mcit[c]	-1213.57	74.21	-909.17	-1084.31	-775.59	1.00e-05	1.00e-02
2mcit[e]	-1213.57	74.21	-900.84	-1075.98	-767.26	1.00e-05	1.00e-02
nadh[m]	-1794.01	115470.06	-491.46	-226854.35	225812.30	1.00e-07	1.10e-03
nad[m]	-1811.31	115470.07	-557.07	-226897.99	225751.65	5.00e-04	7.50e-03
2oxoadp[m]	-818.59	50.10	-529.14	-657.01	-442.83	1.00e-05	1.00e-02
coa[m]	-2898.01	200000.01	-1354.32	-393370.12	390631.39	2.20e-03	3.90e-03
co2[m]	-386.00	32.16	-386.00	-478.72	-334.84	1.00e-05	1.00e-02
glutcoa[m]	-3361.69	200000.01	-1576.75	-393606.46	390411.40	1.00e-05	1.00e-02
2oxoadp[c]	-818.59	50.10	-557.64	-685.51	-471.33	1.00e-05	1.00e-02
34dhmald[c]	-548.81	18.59	-200.91	-267.04	-176.35	1.00e-05	1.00e-02
34dhoxpeg[c]	-595.77	18.05	-160.89	-225.95	-137.39	1.00e-05	1.00e-02
34dhoxpeg[e]	-595.77	18.05	-149.04	-214.10	-125.54	1.00e-05	1.00e-02
34dhpha[c]	-252.46	57735.03	51.95	-113138.40	113200.73	1.00e-05	1.00e-02
amet[c]	-364.15	100000.00	636.15	-195393.55	196624.27	1.00e-05	1.00e-02
ahcys[c]	-318.42	47.08	551.41	429.44	631.82	1.00e-05	1.00e-02
homoval[c]	-261.98	57735.03	129.44	-113060.91	113278.23	1.00e-05	1.00e-02
34dhphe[e]	-631.15	17.69	-139.77	-204.13	-116.99	1.00e-05	1.00e-02
34dhphe[c]	-631.15	17.69	-152.80	-217.15	-130.01	1.00e-05	1.00e-02
34dhpac[c]	-385.28	18.71	-37.38	-103.75	-12.58	1.00e-05	1.00e-02
34dhoxmand[c]	-415.99	57735.03	-111.58	-113301.93	113037.20	1.00e-05	1.00e-02
34hpp[m]	-174.72	57735.03	162.84	-113027.51	113311.62	1.00e-05	1.00e-02
34hpl[m]	-206.63	57735.03	227.42	-112962.93	113376.20	1.00e-05	1.00e-02
co2[c]	-386.00	32.16	-386.00	-478.72	-334.84	1.00e-05	1.00e-02
34hpp[c]	-174.72	57735.03	129.71	-113060.64	113278.49	1.00e-05	1.00e-02
hgentis[c]	-252.46	57735.03	51.97	-113138.38	113200.75	1.00e-05	1.00e-02
35cgmp[c]	-699.40	115470.06	-221.15	-226572.15	226088.29	1.00e-05	1.00e-02
35cgmp[n]	-699.40	115470.06	-221.15	-226572.15	226088.29	1.00e-05	1.00e-02
3aib[m]	-367.72	6.27	66.44	24.45	66.86	1.00e-05	1.00e-02
2mop[m]	-470.22	25.60	-229.00	-308.88	-190.70	1.00e-05	1.00e-02
glu_L[m]	-706.88	25.33	-321.07	-400.40	-283.30	1.00e-05	1.00e-02
3aib[c]	-367.72	6.27	23.70	-18.29	24.12	1.00e-05	1.00e-02
3dphb[m]	921.00	57735.16	5021.48	-108169.12	118170.51	1.00e-05	1.00e-02
3dpdhb[m]	719.54	57735.16	4819.94	-108370.66	117968.97	1.00e-05	1.00e-02
3dsphgn[c]	-173.68	100000.00	1477.50	-194552.19	197465.64	1.00e-05	1.00e-02
sphgn[c]	-205.59	100000.00	1534.07	-194495.62	197522.21	1.00e-05	1.00e-02
3hanthrn[c]	-377.75	17.92	-73.32	-138.12	-50.07	1.00e-05	1.00e-02
cmusa[c]	-674.03	32.73	-413.81	-507.66	-361.53	1.00e-05	1.00e-02
b2coa[m]	-2944.32	200000.01	-1207.65	-393237.36	390780.49	1.00e-05	1.00e-02
3hbcoa_R[m]	-3186.06	200000.01	-1352.88	-393382.58	390635.27	1.00e-05	1.00e-02
3hibutcoa[m]	-3183.99	200000.01	-1350.80	-393380.51	390637.34	1.00e-05	1.00e-02
3hmp[m]	-517.18	24.50	-179.48	-257.19	-143.33	1.00e-05	1.00e-02
glu_L[c]	-706.88	25.33	-358.96	-438.30	-321.19	1.00e-05	1.00e-02
hLkynr[c]	-512.58	19.58	9.24	-58.83	35.75	1.00e-05	1.00e-02
42A3HP24DB[c]	-257.59	57735.03	90.31	-113100.04	113239.10	1.00e-05	1.00e-02
dopa[c]	-262.58	100000.00	259.29	-195770.40	196247.42	1.00e-05	1.00e-02
coa[c]	-2898.01	200000.01	-1506.53	-393533.47	390470.14	2.92e-05	1.17e-04
3hpp[c]	-515.87	24.28	-298.41	-375.69	-262.69	1.00e-05	1.00e-02
3mox4hpac[c]	-394.80	19.91	40.11	-28.60	67.26	1.00e-05	1.00e-02
3mlda[c]	-146.78	30.42	157.25	67.93	205.00	1.00e-05	1.00e-02
3mlda[e]	-146.78	30.42	165.71	76.39	213.46	1.00e-05	1.00e-02
3mob[c]	-488.65	26.29	-184.20	-265.41	-144.56	1.00e-05	1.00e-02
3mob[m]	-488.65	26.29	-150.95	-232.16	-111.30	1.00e-05	1.00e-02
3mop[c]	-480.75	26.45	-89.31	-170.84	-49.36	1.00e-05	1.00e-02
3mop[m]	-480.75	26.45	-46.56	-128.08	-6.60	1.00e-05	1.00e-02
3m4hpga[c]	-558.33	19.85	-123.41	-192.01	-96.38	1.00e-05	1.00e-02
3mox4hoxm[c]	-425.51	57735.03	-34.08	-113224.44	113114.70	1.00e-05	1.00e-02
3moxtyr[c]	-272.10	100000.00	336.78	-195692.91	196324.91	1.00e-05	1.00e-02
h2o[l]	-237.22	6.41	-170.43	-182.99	-157.87	1.00e+00	1.00e+00
pi[l]	-1094.49	7.18	-1069.79	-1113.54	-1067.60	1.00e-05	1.00e-02
adn[l]	-192.36	12.41	241.75	187.75	254.19	1.00e-05	1.00e-02
3sala[m]	-373.12	100000.00	-132.26	-196161.95	195855.88	1.00e-05	1.00e-02
3sala[c]	-373.12	100000.00	-155.72	-196185.41	195832.41	1.00e-05	1.00e-02
asp_L[c]	-714.78	25.28	-453.87	-533.10	-416.19	1.00e-05	1.00e-02
asp_L[m]	-714.78	25.28	-425.44	-504.68	-387.77	1.00e-05	1.00e-02
hyptaur[c]	-24.76	100000.00	279.67	-195750.02	196267.80	1.00e-05	1.00e-02
3snpyr[c]	-477.82	100000.00	-390.83	-196420.53	195597.30	1.00e-05	1.00e-02
3snpyr[m]	-477.82	100000.00	-381.33	-196411.03	195606.80	1.00e-05	1.00e-02
so3[c]	-486.32	32.16	-488.59	-581.31	-437.43	1.00e-05	1.00e-02
pyr[m]	-495.24	25.26	-350.51	-429.71	-312.88	1.00e-05	1.00e-02
so3[m]	-486.32	32.16	-492.23	-584.95	-441.07	1.00e-05	1.00e-02
adrnl[c]	-435.62	100000.00	173.18	-195856.51	196161.31	1.00e-05	1.00e-02
mma[c]	-14.95	100000.00	246.00	-195783.69	196234.12	1.00e-05	1.00e-02
nrpphr[c]	-426.10	100000.00	95.71	-195933.99	196083.83	1.00e-05	1.00e-02
4abut[c]	-354.87	7.48	36.55	-7.80	39.34	1.00e-05	1.00e-02
4abut[m]	-354.87	7.48	79.29	34.93	82.08	1.00e-05	1.00e-02
coucoa[m]	-2955.46	200000.01	-1122.43	-393152.14	390865.71	1.00e-05	1.00e-02
4hbzcoa[m]	-3049.48	200000.01	-1313.67	-393343.37	390674.48	1.00e-05	1.00e-02
accoa[m]	-3038.34	200000.01	-1398.13	-393427.83	390590.02	1.00e-05	1.00e-02
4hbz[m]	-58.91	57735.03	182.21	-113008.14	113330.99	1.00e-05	1.00e-02
4hdebrisoquine[e]	63.25	100000.01	688.77	-195340.94	196676.91	1.00e-05	1.00e-02
4hdebrisoquine[c]	63.25	100000.01	672.14	-195357.57	196660.28	1.00e-05	1.00e-02
4hglusa[m]	-628.63	7.50	-195.17	-239.55	-192.34	1.00e-05	1.00e-02
e4hglu[m]	-870.40	25.28	-484.76	-563.99	-447.09	1.00e-05	1.00e-02
4hoxpacd[c]	-183.83	13.66	164.09	107.63	178.98	1.00e-05	1.00e-02
4hphac[c]	-51.00	57735.03	253.42	-112936.93	113402.20	1.00e-05	1.00e-02
4mop[c]	-480.75	26.45	-89.31	-170.84	-49.36	1.00e-05	1.00e-02
4mop[m]	-480.75	26.45	-46.56	-128.08	-6.60	1.00e-05	1.00e-02
4mptnl[c]	-107.35	9.39	414.55	366.46	421.08	1.00e-05	1.00e-02
4mptnl[e]	-107.35	9.39	428.81	380.71	435.33	1.00e-05	1.00e-02
4mptnl[m]	-107.35	9.39	471.56	423.46	478.09	1.00e-05	1.00e-02
4mtolbutamide[e]	-156.84	100000.00	647.39	-195382.31	196635.52	1.00e-05	1.00e-02
4mtolbutamide[c]	-156.84	100000.00	626.02	-195403.68	196614.14	1.00e-05	1.00e-02
4nphsf[e]	-76.93	141421.36	101.79	-277113.75	277275.78	1.00e-05	1.00e-02
4nphsf[c]	-76.93	141421.36	97.04	-277118.51	277271.03	1.00e-05	1.00e-02
4nph[c]	-76.93	100000.00	137.26	-195892.43	196125.38	1.00e-05	1.00e-02
4nph[e]	-76.93	100000.00	142.29	-195887.40	196130.42	1.00e-05	1.00e-02
4pyrdx[c]	-491.48	19.72	-100.05	-168.39	-73.28	1.00e-05	1.00e-02
4pyrdx[e]	-491.48	19.72	-89.36	-157.70	-62.59	1.00e-05	1.00e-02
5adtststeroneglc[c]	-2243.50	250713.28	-590.79	-492018.50	490795.36	1.00e-05	1.00e-02
5adtststeroneglc[e]	-2243.50	250713.28	-545.66	-491973.37	490840.48	1.00e-05	1.00e-02
5adtststeroneglc[r]	-2243.50	250713.28	-590.79	-492018.50	490795.36	1.00e-05	1.00e-02
5adtststerones[c]	-1339.57	269920.63	-78.29	-529152.41	528954.28	1.00e-05	1.00e-02
5adtststerones[e]	-1339.57	269920.63	-43.85	-529117.97	528988.71	1.00e-05	1.00e-02
5adtststerone[c]	-1397.84	250713.28	-93.06	-491520.77	491293.08	1.00e-05	1.00e-02
5adtststerone[e]	-1397.84	250713.28	-57.44	-491485.15	491328.71	1.00e-05	1.00e-02
5adtststerone[r]	-1397.84	250713.28	-93.06	-491520.77	491293.08	1.00e-05	1.00e-02
5aop[c]	-482.23	7.07	-91.68	-135.23	-89.69	1.00e-05	1.00e-02
5aop[m]	-482.23	7.07	-51.32	-94.87	-49.33	1.00e-05	1.00e-02
5dhf[c]	-2498.17	100000.01	-454.14	-196483.86	195534.01	1.00e-05	1.00e-02
5dhf[l]	-2498.17	100000.01	-933.10	-196962.81	195055.06	1.00e-05	1.00e-02
h2o[e]	-237.22	6.41	-147.86	-160.43	-135.30	1.00e+00	1.00e+00
5fthf[e]	-334.35	115470.07	603.30	-225747.72	226912.76	1.00e-05	1.00e-02
5fthf[c]	-334.35	115470.07	578.05	-225772.97	226887.51	1.00e-05	1.00e-02
5htrp[c]	-318.56	22.98	203.30	128.56	236.47	1.00e-05	1.00e-02
srtn[c]	50.01	100000.00	615.38	-195414.32	196603.51	1.00e-05	1.00e-02
5homeprazole[e]	0.00	100000.00	848.86	-195180.83	196836.99	1.00e-05	1.00e-02
5homeprazole[c]	0.00	100000.00	826.32	-195203.37	196814.44	1.00e-05	1.00e-02
5hoxindact[c]	-72.69	23.70	318.72	242.59	353.29	1.00e-05	1.00e-02
5hoxindoa[c]	60.13	57735.03	408.05	-112782.31	113556.84	1.00e-05	1.00e-02
5htrp[e]	-318.56	22.98	217.52	142.78	250.69	1.00e-05	1.00e-02
5mthf[e]	-595.28	100000.01	520.24	-195509.47	196508.38	1.00e-05	1.00e-02
5mthf[c]	-595.28	100000.01	490.97	-195538.74	196479.11	1.00e-05	1.00e-02
5thf[c]	0.00	100000.00	1956.98	-194072.71	197945.10	1.00e-05	1.00e-02
5thf[l]	0.00	100000.00	1502.73	-194526.96	197490.85	1.00e-05	1.00e-02
5thf[m]	0.00	100000.00	2169.84	-193859.85	198157.96	1.00e-05	1.00e-02
6dhf[c]	0.00	100000.00	2129.13	-193900.55	198117.26	1.00e-05	1.00e-02
6dhf[l]	0.00	100000.00	1636.31	-194393.38	197624.43	1.00e-05	1.00e-02
6dhf[m]	0.00	100000.00	2357.56	-193672.12	198345.69	1.00e-05	1.00e-02
6htststerone[c]	-1551.24	250713.28	-333.45	-491761.16	491052.69	1.00e-05	1.00e-02
6htststerone[e]	-1551.24	250713.28	-300.20	-491727.91	491085.94	1.00e-05	1.00e-02
6htststerone[r]	-1551.24	250713.28	-333.45	-491761.16	491052.69	1.00e-05	1.00e-02
6thf[c]	0.00	100000.00	2216.12	-193813.57	198204.24	1.00e-05	1.00e-02
6thf[l]	0.00	100000.00	1703.11	-194326.58	197691.23	1.00e-05	1.00e-02
6thf[m]	0.00	100000.00	2454.05	-193575.64	198442.17	1.00e-05	1.00e-02
7dhchsterol[r]	-1193.57	250713.28	720.10	-490707.63	492106.26	1.00e-05	1.00e-02
7dhchsterol[c]	-1193.57	250713.28	720.10	-490707.63	492106.26	1.00e-05	1.00e-02
7dhf[c]	0.00	100000.00	2391.96	-193637.73	198380.08	1.00e-05	1.00e-02
7dhf[l]	0.00	100000.00	1836.74	-194192.95	197824.86	1.00e-05	1.00e-02
7dhf[m]	0.00	100000.00	2652.65	-193377.04	198640.78	1.00e-05	1.00e-02
7thf[c]	0.00	100000.00	2478.11	-193551.58	198466.24	1.00e-05	1.00e-02
7thf[l]	0.00	100000.00	1902.86	-194126.82	197890.99	1.00e-05	1.00e-02
7thf[m]	0.00	100000.00	2747.97	-193281.72	198736.09	1.00e-05	1.00e-02
man[c]	-912.39	5.78	-390.48	-431.49	-391.03	1.00e-05	1.00e-02
m2mn[l]	-2923.41	29.18	-1422.34	-1509.21	-1377.03	1.00e-05	1.00e-02
man[l]	-912.39	5.78	-511.61	-552.62	-512.16	1.00e-05	1.00e-02
mn[l]	-1591.87	15.25	-758.77	-818.35	-740.75	1.00e-05	1.00e-02
galgluside_hs[c]	-827.73	67.90	3216.96	3054.19	3338.17	1.00e-05	1.00e-02
udpgal[c]	-2466.98	115470.06	-1511.55	-227862.55	224797.89	1.00e-05	1.00e-02
thcrm_hs[c]	0.00	100000.00	2870.50	-193159.19	198858.63	1.00e-05	1.00e-02
udp[c]	-2178.23	57735.04	-1703.47	-114893.84	111445.34	1.00e-05	1.00e-02
h[g]	-0.00	0.00	37.70	0.00	0.00	4.47e-07	4.47e-07
galgluside_hs[g]	-827.73	67.90	2747.03	2584.26	2868.24	1.00e-05	1.00e-02
udpgal[g]	-2466.98	115470.06	-1621.43	-227972.43	224688.01	1.00e-05	1.00e-02
thcrm_hs[g]	0.00	100000.00	2537.39	-193492.30	198525.52	1.00e-05	1.00e-02
udp[g]	-2178.23	57735.04	-1755.97	-114951.41	111381.83	1.40e-06	1.40e-04
T_antigen[g]	0.00	100000.00	922.69	-195107.00	196910.81	1.00e-05	1.00e-02
uacgam[g]	-2682.44	115470.06	-1721.99	-228073.00	224587.45	1.00e-05	1.00e-02
gncore1[g]	0.00	100000.00	1422.48	-194607.21	197410.60	1.00e-05	1.00e-02
core2[g]	0.00	100000.00	1422.48	-194607.21	197410.60	1.00e-05	1.00e-02
gncore2[g]	0.00	100000.00	1922.27	-194107.42	197910.39	1.00e-05	1.00e-02
aact[c]	-130.76	100000.00	216.30	-195813.39	196204.42	1.00e-05	1.00e-02
mthgxl[c]	-260.88	7.15	-86.91	-130.61	-84.77	1.00e-05	1.00e-02
aact[m]	-130.76	100000.00	251.90	-195777.79	196240.03	1.00e-05	1.00e-02
L2aadp6sa[m]	-457.20	8.48	73.26	26.96	78.00	1.00e-05	1.00e-02
fucgalacglcgalgluside_hs[g]	0.00	100000.00	3421.64	-192608.05	199409.76	1.00e-05	1.00e-02
udpacgal[g]	-2682.44	115470.06	-1721.99	-228073.00	224587.45	1.00e-05	1.00e-02
acgalfucgalacglcgalgluside_hs[g]	0.00	100000.00	3921.43	-192108.26	199909.55	1.00e-05	1.00e-02
galfucgalacglcgalgluside_hs[g]	0.00	100000.00	3806.09	-192223.60	199794.21	1.00e-05	1.00e-02
fuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	3421.64	-192608.05	199409.76	1.00e-05	1.00e-02
galfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	3806.09	-192223.60	199794.21	1.00e-05	1.00e-02
acgalfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	3921.43	-192108.26	199909.55	1.00e-05	1.00e-02
fucgalacgalfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	4690.33	-191339.36	200678.46	1.00e-05	1.00e-02
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g]	0.00	100000.00	5190.12	-190839.57	201178.25	1.00e-05	1.00e-02
fucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	4305.88	-191723.81	200294.00	1.00e-05	1.00e-02
acgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	0.00	-196029.69	195988.12	1.00e-05	1.00e-02
fucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	0.00	-196029.69	195988.12	1.00e-05	1.00e-02
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	6074.36	-189955.32	202062.49	1.00e-05	1.00e-02
galfucgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	4690.33	-191339.36	200678.46	1.00e-05	1.00e-02
fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	5574.57	-190455.11	201562.70	1.00e-05	1.00e-02
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]	0.00	100000.00	6343.48	-189686.21	202331.61	1.00e-05	1.00e-02
sucsal[m]	-461.01	25.37	-219.79	-299.20	-181.95	1.00e-05	1.00e-02
abt[c]	-795.82	7.19	-273.92	-317.70	-271.70	1.00e-05	1.00e-02
xylu_L[c]	-763.91	5.00	-328.99	-368.49	-331.06	1.00e-05	1.00e-02
abt[e]	-795.82	7.19	-259.66	-303.45	-257.44	1.00e-05	1.00e-02
h[l]	-0.00	0.00	32.66	0.00	0.00	3.16e-06	3.16e-06
4abut[l]	-354.87	7.48	-54.55	-98.90	-51.76	1.00e-05	1.00e-02
4abut[e]	-354.87	7.48	47.24	2.89	50.03	1.00e-05	1.00e-02
2maacoa[m]	-3155.46	200000.01	-1322.27	-393351.98	390665.87	1.00e-05	1.00e-02
ppcoa[m]	-3030.44	200000.01	-1293.77	-393323.48	390694.37	1.00e-05	1.00e-02
aacoa[m]	-3154.15	200000.01	-1417.45	-393447.16	390570.69	1.00e-05	1.00e-02
coa[x]	-2898.01	200000.01	-1544.69	-393574.39	390443.45	1.00e-05	1.00e-02
accoa[x]	-3038.34	200000.01	-1600.33	-393630.03	390387.81	1.00e-05	1.00e-02
aacoa[x]	-3154.15	200000.01	-1631.50	-393661.21	390356.64	1.00e-05	1.00e-02
acac[c]	-487.34	25.31	-269.88	-349.17	-232.16	1.00e-05	1.00e-02
acac[m]	-487.34	25.31	-246.13	-325.42	-208.40	1.00e-05	1.00e-02
3odcoa[x]	-3106.74	200000.01	-1076.41	-393106.12	390911.73	1.00e-05	1.00e-02
occoa[x]	-2990.93	200000.01	-1045.57	-393075.28	390942.57	1.00e-05	1.00e-02
3oddcoa[x]	-3090.93	200000.01	-891.39	-392921.10	391096.76	1.00e-05	1.00e-02
dcacoa[x]	-2975.12	200000.01	-860.55	-392890.26	391127.60	1.00e-05	1.00e-02
3otdcoa[x]	-3075.13	200000.01	-706.37	-392736.08	391281.78	1.00e-05	1.00e-02
ddcacoa[x]	-2959.32	200000.01	-675.52	-392705.23	391312.62	1.00e-05	1.00e-02
3ohdcoa[x]	-3059.32	200000.01	-521.34	-392551.05	391466.81	1.00e-05	1.00e-02
